time_ms,ir_raw,red_raw,systolic_label,diastolic_label
1040,116437,97844,116,69
1050,116412,97847,116,69
1060,116414,97838,116,69
1070,116361,97804,116,69
1081,116355,97814,116,69
1091,116336,97822,116,69
1101,116319,97812,116,69
1111,116313,97824,116,69
1121,116334,97804,116,69
1130,116313,97808,116,69
1141,116328,97814,116,69
1151,116355,97811,116,69
1161,116328,97799,116,69
1171,116344,97829,116,69
1181,116358,97825,116,69
1191,116345,97824,116,69
1201,116351,97827,116,69
1211,116370,97844,116,69
1221,116357,97816,116,69
1231,116350,97818,116,69
1241,116383,97842,116,69
1251,116380,97814,116,69
1261,116382,97848,116,69
1271,116404,97849,116,69
1281,116407,97823,116,69
1291,116429,97838,116,69
1301,116447,97839,116,69
1311,116456,97816,116,69
1322,116442,97848,116,69
1332,116450,97835,116,69
1342,116449,97818,116,69
1352,116454,97864,116,69
1362,116473,97845,116,69
1372,116431,97831,116,69
1382,116468,97825,116,69
1392,116480,97859,116,69
1402,116450,97841,116,69
1412,116488,97840,116,69
1422,116513,97845,116,69
1432,116487,97827,116,69
1442,116493,97847,116,69
1452,116515,97851,116,69
1462,116511,97847,116,69
1472,116528,97867,116,69
1482,116534,97851,116,69
1492,116542,97849,116,69
1503,116555,97876,116,69
1513,116558,97875,116,69
1523,116561,97851,116,69
1533,116565,97863,116,69
1543,116589,97867,116,69
1552,116567,97867,116,69
1563,116606,97866,116,69
1573,116617,97867,116,69
1583,116600,97859,116,69
1593,116617,97878,116,69
1603,116613,97861,116,69
1613,116621,97874,116,69
1623,116632,97905,116,69
1633,116651,97874,116,69
1643,116654,97897,116,69
1653,116663,97898,116,69
1663,116667,97874,116,69
1673,116666,97887,116,69
1683,116679,97908,116,69
1693,116695,97888,116,69
1703,116675,97895,116,69
1713,116699,97901,116,69
1723,116715,97912,116,69
1733,116720,97877,116,69
1744,116739,97922,116,69
1754,116730,97917,116,69
1764,116725,97899,116,69
1774,116754,97923,116,69
1784,116774,97907,116,69
1794,116759,97904,116,69
1804,116776,97926,116,69
1814,116789,97936,116,69
1824,116785,97911,116,69
1834,116795,97947,116,69
1844,116799,97928,116,69
1854,116789,97920,116,69
1864,116763,97921,116,69
1874,116726,97919,116,69
1884,116686,97877,116,69
1894,116683,97896,116,69
1904,116663,97888,116,69
1914,116645,97887,116,69
1925,116648,97914,116,69
1935,116650,97881,116,69
1945,116645,97888,116,69
1955,116669,97902,116,69
1965,116650,97890,116,69
1975,116636,97871,116,69
1985,116678,97915,116,69
1995,116690,97868,116,69
2005,116663,97885,116,69
2015,116690,97911,116,69
2025,116680,97875,116,69
2035,116686,97874,116,69
2045,116689,97906,116,69
2055,116711,97883,116,69
2065,116665,97878,116,69
2075,116726,97890,116,69
2085,116719,97883,116,69
2095,116725,97886,116,69
2106,116727,97903,116,69
2115,116747,97900,116,69
2125,116762,97916,116,69
2135,116756,97908,116,69
2145,116760,97889,116,69
2155,116734,97885,116,69
2166,116772,97904,116,69
2176,116754,97883,116,69
2186,116763,97887,116,69
2196,116769,97898,116,69
2206,116768,97880,116,69
2216,116772,97874,116,69
2226,116780,97905,116,69
2236,116784,97891,116,69
2246,116772,97888,116,69
2256,116789,97899,116,69
2266,116809,97887,116,69
2276,116792,97903,116,69
2286,116810,97922,116,69
2296,116801,97902,116,69
2306,116816,97881,116,69
2316,116832,97916,116,69
2326,116845,97909,116,69
2336,116854,97900,116,69
2347,116833,97903,116,69
2357,116859,97931,116,69
2367,116824,97903,116,69
2377,116842,97898,116,69
2387,116872,97928,116,69
2397,116863,97889,116,69
2407,116848,97915,116,69
2417,116883,97926,116,69
2427,116866,97891,116,69
2437,116865,97921,116,69
2447,116893,97938,116,69
2457,116910,97915,116,69
2467,116893,97913,116,69
2477,116908,97924,116,69
2487,116924,97902,116,69
2497,116921,97895,116,69
2507,116917,97925,116,69
2517,116935,97933,116,69
2527,116912,97908,116,69
2538,116938,97919,116,69
2548,116952,97920,116,69
2557,116946,97911,116,69
2567,116963,97936,116,69
2577,116959,97906,116,69
2587,116959,97896,116,69
2598,116949,97920,116,69
2608,116980,97923,116,69
2618,116967,97915,116,69
2628,117013,97939,116,69
2638,117005,97920,116,69
2648,116995,97926,116,69
2658,117016,97943,116,69
2668,117017,97927,116,69
2678,116980,97910,116,69
2688,116966,97914,116,69
2698,116951,97885,116,69
2708,116875,97867,116,69
2718,116851,97884,116,69
2728,116859,97896,116,69
2738,116833,97874,116,69
2748,116835,97868,116,69
2758,116838,97885,116,69
2768,116831,97860,116,69
2779,116829,97866,116,69
2789,116856,97859,116,69
2799,116834,97851,116,69
2809,116827,97846,116,69
2819,116849,97870,116,69
2829,116806,97837,116,69
2839,116838,97852,116,69
2849,116834,97860,116,69
2859,116812,97844,116,69
