time_ms,ir_raw,red_raw,systolic_label,diastolic_label
81775,99022,93965,118,85
81785,99090,93998,118,85
81796,99103,93993,118,85
81805,99148,94022,118,85
81815,99194,94025,118,85
81825,99239,94073,118,85
81836,99256,94075,118,85
81846,99292,94076,118,85
81856,99309,94095,118,85
81866,99350,94127,118,85
81876,99385,94132,118,85
81886,99443,94156,118,85
81896,99452,94178,118,85
81906,99516,94196,118,85
81916,99542,94222,118,85
81926,99607,94224,118,85
81936,99635,94253,118,85
81946,99678,94265,118,85
81956,99666,94285,118,85
81966,99702,94283,118,85
81976,99677,94296,118,85
81986,99670,94271,118,85
81996,99626,94285,118,85
82006,99519,94194,118,85
82016,99349,94146,118,85
82026,99115,94028,118,85
82036,98868,93937,118,85
82047,98655,93827,118,85
82057,98515,93758,118,85
82067,98357,93684,118,85
82076,98304,93679,118,85
82087,98310,93648,118,85
82097,98331,93693,118,85
82107,98400,93716,118,85
82117,98467,93750,118,85
82127,98538,93771,118,85
82137,98641,93805,118,85
82147,98729,93841,118,85
82157,98801,93877,118,85
82167,98850,93911,118,85
82177,98933,93950,118,85
82187,98993,93988,118,85
82197,99089,93999,118,85
82207,99119,94024,118,85
82217,99159,94047,118,85
82227,99178,94048,118,85
82237,99174,94038,118,85
82247,99177,94061,118,85
82258,99190,94053,118,85
82268,99184,94057,118,85
82277,99164,94045,118,85
82287,99187,94075,118,85
82298,99173,94069,118,85
82308,99208,94079,118,85
82318,99195,94076,118,85
82328,99257,94080,118,85
82338,99256,94091,118,85
82348,99311,94106,118,85
82358,99336,94117,118,85
82368,99358,94124,118,85
82378,99373,94151,118,85
82388,99410,94156,118,85
82398,99441,94167,118,85
82408,99463,94161,118,85
82418,99501,94197,118,85
82428,99510,94219,118,85
82438,99547,94215,118,85
82448,99582,94228,118,85
82458,99613,94251,118,85
82469,99656,94248,118,85
82479,99697,94283,118,85
82488,99722,94298,118,85
82498,99763,94330,118,85
82509,99783,94320,118,85
82519,99827,94342,118,85
82529,99808,94345,118,85
82539,99862,94352,118,85
82549,99845,94386,118,85
82559,99868,94337,118,85
82569,99846,94371,118,85
82579,99802,94319,118,85
82589,99672,94284,118,85
82599,99516,94207,118,85
82609,99301,94112,118,85
82619,99049,94000,118,85
82629,98825,93918,118,85
82639,98609,93812,118,85
82649,98502,93765,118,85
82659,98400,93719,118,85
82669,98379,93688,118,85
82680,98376,93682,118,85
82690,98421,93715,118,85
82699,98481,93728,118,85
82709,98548,93779,118,85
82720,98631,93792,118,85
82730,98709,93826,118,85
82740,98766,93870,118,85
82750,98858,93897,118,85
82760,98917,93911,118,85
82770,98995,93963,118,85
82780,99029,93977,118,85
