time_ms,ir_raw,red_raw,systolic_label,diastolic_label
1055,108793,103069,108,72
1066,108946,103122,108,72
1076,109024,103178,108,72
1086,109191,103274,108,72
1096,109343,103356,108,72
1106,109469,103408,108,72
1116,109557,103471,108,72
1126,109644,103529,108,72
1136,109735,103547,108,72
1146,109796,103574,108,72
1156,109807,103565,108,72
1166,109883,103614,108,72
1176,109996,103663,108,72
1186,110122,103718,108,72
1196,110274,103801,108,72
1206,110464,103907,108,72
1216,110565,103947,108,72
1226,110689,104020,108,72
1236,110746,104053,108,72
1247,110782,104060,108,72
1256,110823,104100,108,72
1266,110781,104044,108,72
1276,110793,104065,108,72
1287,110873,104089,108,72
1297,110962,104124,108,72
1306,111050,104190,108,72
1317,111106,104206,108,72
1327,111104,104202,108,72
1337,111151,104226,108,72
1347,111163,104214,108,72
1357,111220,104249,108,72
1367,111273,104291,108,72
1377,111298,104266,108,72
1387,111336,104322,108,72
1397,111257,104275,108,72
1407,111176,104245,108,72
1417,110998,104180,108,72
1427,110759,104067,108,72
1437,110623,104005,108,72
1447,110406,103934,108,72
1457,110311,103873,108,72
1467,110173,103832,108,72
1477,110046,103774,108,72
1487,109999,103772,108,72
1498,109956,103721,108,72
1507,109946,103731,108,72
1517,109895,103713,108,72
1528,109849,103678,108,72
1538,109823,103673,108,72
1548,109826,103667,108,72
1558,109856,103698,108,72
1568,109928,103724,108,72
1578,110023,103768,108,72
1588,110117,103799,108,72
1598,110127,103800,108,72
1608,110170,103842,108,72
1618,110187,103836,108,72
1628,110227,103857,108,72
1638,110257,103863,108,72
1648,110315,103884,108,72
1658,110349,103904,108,72
1668,110360,103907,108,72
1678,110402,103939,108,72
1688,110415,103933,108,72
1698,110435,103941,108,72
1708,110429,103936,108,72
1718,110406,103945,108,72
1729,110427,103959,108,72
1739,110426,103923,108,72
1748,110410,103939,108,72
1759,110422,103925,108,72
1769,110454,103982,108,72
1779,110486,103965,108,72
1789,110486,103958,108,72
1799,110481,103967,108,72
1809,110468,103959,108,72
1819,110512,103967,108,72
1829,110539,104001,108,72
1839,110583,104029,108,72
1849,110621,104026,108,72
1859,110705,104071,108,72
1869,110770,104103,108,72
1879,110806,104112,108,72
1889,110828,104142,108,72
1899,110843,104126,108,72
1909,110865,104156,108,72
