time_ms,ir_raw,red_raw,systolic_label,diastolic_label
41102,98050,94149,109,79
41112,98092,94158,109,79
41122,98095,94165,109,79
41132,98161,94215,109,79
41142,98165,94205,109,79
41152,98195,94230,109,79
41162,98197,94258,109,79
41172,98199,94243,109,79
41182,98172,94225,109,79
41193,98193,94232,109,79
41203,98188,94239,109,79
41213,98167,94208,109,79
41222,98157,94221,109,79
41233,98148,94224,109,79
41243,98123,94199,109,79
41253,98131,94196,109,79
41263,98124,94199,109,79
41273,98110,94195,109,79
41283,98103,94189,109,79
41293,98073,94159,109,79
41303,98004,94141,109,79
41313,97965,94123,109,79
41323,97865,94062,109,79
41333,97735,94030,109,79
41343,97582,93937,109,79
41353,97440,93882,109,79
41363,97281,93835,109,79
41373,97172,93761,109,79
41383,97076,93713,109,79
41393,97006,93696,109,79
41403,96983,93663,109,79
41414,96971,93641,109,79
41424,96967,93657,109,79
41434,96974,93644,109,79
41444,97023,93668,109,79
41454,97043,93687,109,79
41464,97068,93698,109,79
41474,97077,93707,109,79
41484,97093,93711,109,79
41494,97083,93716,109,79
41504,97070,93710,109,79
41514,97073,93713,109,79
41524,97057,93712,109,79
41534,97071,93699,109,79
41544,97069,93706,109,79
41554,97083,93718,109,79
41564,97113,93743,109,79
41574,97145,93730,109,79
41584,97174,93769,109,79
41595,97200,93786,109,79
41604,97277,93821,109,79
41614,97323,93821,109,79
41624,97382,93865,109,79
41634,97395,93869,109,79
41645,97445,93892,109,79
41655,97457,93906,109,79
41665,97453,93898,109,79
41675,97484,93920,109,79
41685,97472,93931,109,79
41695,97502,93935,109,79
41705,97523,93933,109,79
41715,97562,93967,109,79
41725,97551,93979,109,79
41735,97592,93955,109,79
41745,97616,93984,109,79
41755,97618,93996,109,79
41765,97648,93992,109,79
41775,97644,93998,109,79
41785,97659,93991,109,79
41795,97651,94010,109,79
41805,97667,94005,109,79
41815,97665,94012,109,79
41825,97682,94021,109,79
41835,97670,94019,109,79
41845,97667,94013,109,79
41855,97693,94045,109,79
41866,97677,94041,109,79
41876,97719,94039,109,79
41886,97698,94037,109,79
41896,97749,94051,109,79
41905,97734,94056,109,79
41916,97756,94072,109,79
41926,97750,94075,109,79
41936,97761,94070,109,79
41946,97781,94084,109,79
41956,97785,94084,109,79
41966,97803,94109,109,79
41976,97797,94072,109,79
41986,97834,94103,109,79
41996,97829,94119,109,79
42006,97833,94102,109,79
42016,97834,94115,109,79
42026,97846,94105,109,79
42036,97867,94127,109,79
42046,97891,94115,109,79
42056,97907,94150,109,79
42066,97903,94132,109,79
42076,97943,94160,109,79
42086,97960,94169,109,79
42097,97979,94175,109,79
42107,97997,94183,109,79
42117,97983,94206,109,79
42126,98023,94196,109,79
42137,98036,94181,109,79
42147,98044,94196,109,79
42157,98008,94208,109,79
42167,98045,94184,109,79
42177,98036,94221,109,79
42187,98028,94200,109,79
42197,98048,94211,109,79
42207,98031,94218,109,79
42217,98072,94209,109,79
42227,98064,94227,109,79
42237,98063,94224,109,79
42247,98092,94237,109,79
42257,98068,94213,109,79
42267,98072,94226,109,79
42277,98017,94187,109,79
42287,97934,94155,109,79
