time_ms,ir_raw,red_raw,systolic_label,diastolic_label
1056,107205,89533,107,77
1066,107240,89552,107,77
1076,107271,89564,107,77
1086,107309,89574,107,77
1096,107344,89596,107,77
1106,107373,89634,107,77
1116,107402,89642,107,77
1126,107424,89626,107,77
1136,107410,89624,107,77
1146,107442,89649,107,77
1156,107507,89665,107,77
1166,107529,89674,107,77
1176,107553,89676,107,77
1186,107587,89672,107,77
1196,107597,89706,107,77
1207,107671,89725,107,77
1217,107694,89737,107,77
1227,107735,89735,107,77
1237,107746,89752,107,77
1247,107795,89759,107,77
1257,107835,89805,107,77
1267,107885,89823,107,77
1277,107911,89832,107,77
1287,107952,89821,107,77
1297,107986,89836,107,77
1307,108005,89858,107,77
1317,108043,89884,107,77
1327,108089,89883,107,77
1337,108129,89913,107,77
1347,108133,89900,107,77
1357,108176,89900,107,77
1367,108185,89943,107,77
1377,108236,89949,107,77
1387,108288,89966,107,77
1397,108287,89936,107,77
1407,108333,89965,107,77
1417,108348,89983,107,77
1428,108398,90014,107,77
1438,108442,90026,107,77
1448,108481,90045,107,77
1458,108493,90057,107,77
1468,108519,90058,107,77
1478,108534,90066,107,77
1488,108557,90077,107,77
1498,108567,90084,107,77
1508,108529,90060,107,77
1518,108422,90007,107,77
1528,108267,89969,107,77
1538,108122,89901,107,77
1548,107957,89857,107,77
1558,107798,89796,107,77
1568,107638,89700,107,77
1578,107468,89631,107,77
1588,107318,89588,107,77
1598,107192,89525,107,77
1608,107075,89488,107,77
1618,107001,89471,107,77
1628,106911,89432,107,77
1638,106848,89382,107,77
1648,106773,89358,107,77
1658,106708,89360,107,77
1668,106651,89337,107,77
1679,106613,89324,107,77
1689,106612,89309,107,77
1699,106569,89280,107,77
1709,106543,89275,107,77
1719,106522,89276,107,77
1729,106538,89264,107,77
1739,106532,89272,107,77
1749,106569,89304,107,77
1759,106617,89319,107,77
1769,106658,89330,107,77
1779,106711,89337,107,77
1789,106757,89364,107,77
1799,106802,89375,107,77
1809,106865,89412,107,77
1819,106911,89426,107,77
1829,106986,89466,107,77
1840,107035,89493,107,77
1850,107085,89501,107,77
1860,107111,89491,107,77
1870,107122,89514,107,77
1880,107152,89517,107,77
1890,107151,89540,107,77
1900,107216,89550,107,77
1910,107241,89562,107,77
1920,107272,89562,107,77
1930,107299,89568,107,77
1940,107309,89590,107,77
1950,107361,89596,107,77
1960,107413,89622,107,77
1970,107474,89644,107,77
1980,107492,89643,107,77
1990,107515,89661,107,77
2000,107578,89693,107,77
2010,107644,89695,107,77
2020,107678,89747,107,77
2030,107739,89764,107,77
2040,107806,89799,107,77
2050,107875,89814,107,77
2060,107909,89831,107,77
2070,107954,89836,107,77
2080,107998,89868,107,77
2090,108056,89885,107,77
2100,108102,89927,107,77
2111,108164,89956,107,77
2121,108197,89953,107,77
2131,108222,89955,107,77
2141,108261,89994,107,77
2151,108324,90010,107,77
2161,108359,90034,107,77
2171,108434,90048,107,77
2181,108468,90087,107,77
2191,108508,90107,107,77
2201,108540,90100,107,77
2211,108558,90116,107,77
2221,108576,90134,107,77
2231,108602,90136,107,77
2241,108662,90162,107,77
2251,108691,90182,107,77
2261,108740,90212,107,77
2272,108787,90237,107,77
2282,108836,90220,107,77
2292,108857,90243,107,77
2302,108890,90271,107,77
2312,108922,90281,107,77
2322,108952,90286,107,77
2332,108951,90318,107,77
2342,108933,90312,107,77
2352,108858,90293,107,77
2362,108738,90247,107,77
2372,108623,90195,107,77
2382,108436,90099,107,77
2392,108272,90035,107,77
2402,108080,89986,107,77
2412,107932,89911,107,77
2422,107796,89863,107,77
2432,107665,89810,107,77
2442,107557,89773,107,77
2452,107468,89742,107,77
2462,107379,89709,107,77
2472,107303,89661,107,77
2482,107246,89645,107,77
2492,107177,89601,107,77
2502,107112,89593,107,77
2512,107080,89583,107,77
2522,107040,89576,107,77
2533,107023,89577,107,77
2543,107010,89572,107,77
2553,107008,89575,107,77
2563,107003,89560,107,77
2573,107002,89548,107,77
2583,106995,89546,107,77
2593,107020,89569,107,77
2603,107059,89573,107,77
2613,107120,89631,107,77
2623,107164,89640,107,77
2633,107248,89655,107,77
2643,107317,89701,107,77
2653,107369,89719,107,77
2663,107422,89736,107,77
2673,107465,89752,107,77
2683,107511,89755,107,77
2693,107537,89763,107,77
2703,107562,89786,107,77
2713,107581,89789,107,77
2723,107633,89786,107,77
2733,107638,89821,107,77
2743,107669,89843,107,77
2753,107700,89852,107,77
2763,107745,89877,107,77
2773,107751,89886,107,77
2783,107780,89853,107,77
2794,107788,89871,107,77
2804,107834,89897,107,77
2814,107868,89894,107,77
2824,107883,89941,107,77
2834,107921,89938,107,77
2844,107978,89953,107,77
2854,108003,89969,107,77
2864,108047,89995,107,77
2874,108076,89985,107,77
2884,108102,89995,107,77
2894,108131,90008,107,77
2904,108161,90030,107,77
2914,108198,90012,107,77
2924,108232,90070,107,77
2934,108270,90080,107,77
2944,108301,90077,107,77
2954,108329,90114,107,77
2964,108384,90130,107,77
2974,108417,90138,107,77
2984,108438,90134,107,77
2994,108476,90164,107,77
3004,108493,90162,107,77
3014,108516,90175,107,77
3025,108532,90176,107,77
3035,108536,90178,107,77
3045,108579,90203,107,77
3055,108601,90214,107,77
3065,108634,90225,107,77
3075,108655,90234,107,77
3085,108691,90262,107,77
3095,108731,90292,107,77
3105,108764,90297,107,77
3115,108788,90291,107,77
3125,108810,90289,107,77
3135,108848,90301,107,77
3145,108863,90307,107,77
3155,108844,90341,107,77
3165,108843,90309,107,77
3175,108809,90272,107,77
3185,108669,90268,107,77
3195,108520,90197,107,77
3205,108401,90135,107,77
3215,108230,90085,107,77
