time_ms,ir_raw,red_raw,systolic_label,diastolic_label
71083,112187,99377,112,75
71093,112240,99392,112,75
71103,112272,99404,112,75
71113,112315,99433,112,75
71123,112362,99452,112,75
71133,112424,99447,112,75
71143,112467,99479,112,75
71153,112552,99490,112,75
71164,112596,99526,112,75
71173,112653,99523,112,75
71184,112611,99535,112,75
71193,112511,99469,112,75
71204,112312,99398,112,75
71213,112059,99299,112,75
71224,111739,99185,112,75
71233,111414,99080,112,75
71244,111122,98950,112,75
71254,110871,98876,112,75
71264,110691,98772,112,75
71274,110516,98708,112,75
71284,110412,98661,112,75
71294,110341,98653,112,75
71304,110274,98606,112,75
71314,110263,98581,112,75
71324,110240,98569,112,75
71334,110198,98547,112,75
71344,110155,98554,112,75
71354,110113,98529,112,75
71364,110062,98522,112,75
71374,109982,98505,112,75
71384,109923,98479,112,75
71394,109893,98460,112,75
71405,109850,98439,112,75
71414,109822,98410,112,75
71425,109825,98424,112,75
71434,109855,98430,112,75
71445,109903,98465,112,75
71454,109957,98489,112,75
71465,110013,98522,112,75
71474,110079,98560,112,75
71485,110104,98566,112,75
71495,110147,98557,112,75
71505,110182,98570,112,75
71515,110193,98570,112,75
71525,110191,98577,112,75
71535,110220,98591,112,75
71545,110216,98606,112,75
71555,110241,98614,112,75
71565,110230,98614,112,75
71575,110240,98604,112,75
71585,110276,98601,112,75
71595,110283,98620,112,75
71605,110336,98636,112,75
71615,110374,98668,112,75
71625,110397,98691,112,75
71635,110469,98693,112,75
71645,110520,98708,112,75
71656,110566,98729,112,75
71665,110621,98740,112,75
71676,110665,98763,112,75
71686,110721,98792,112,75
71696,110764,98816,112,75
71706,110827,98845,112,75
71716,110884,98879,112,75
71726,110891,98860,112,75
71736,110941,98874,112,75
71746,110968,98873,112,75
71756,110986,98903,112,75
71766,111016,98931,112,75
71776,111064,98938,112,75
71786,111075,98935,112,75
71796,111076,98936,112,75
71806,111083,98916,112,75
71816,111060,98915,112,75
71826,111050,98902,112,75
71836,111034,98930,112,75
71846,111028,98931,112,75
71856,111043,98956,112,75
71867,111042,98937,112,75
71876,111056,98919,112,75
71887,111081,98948,112,75
71897,111109,98948,112,75
71907,111123,98968,112,75
71917,111154,98985,112,75
71927,111190,98992,112,75
71937,111208,98996,112,75
71947,111219,98977,112,75
71957,111198,98993,112,75
71967,111228,99004,112,75
71977,111260,99030,112,75
71987,111259,99028,112,75
71997,111288,99037,112,75
72007,111319,99046,112,75
72017,111362,99035,112,75
72027,111342,99041,112,75
72037,111366,99070,112,75
72047,111384,99105,112,75
72058,111439,99100,112,75
72067,111492,99103,112,75
72078,111526,99120,112,75
72087,111543,99135,112,75
72098,111556,99151,112,75
72107,111526,99154,112,75
72118,111454,99107,112,75
72128,111241,99005,112,75
72138,110927,98901,112,75
72148,110524,98728,112,75
72158,110117,98568,112,75
72168,109753,98435,112,75
72178,109417,98277,112,75
72188,109140,98167,112,75
72198,108935,98091,112,75
72208,108823,98027,112,75
72218,108756,97985,112,75
72228,108724,97999,112,75
72238,108746,97977,112,75
72248,108763,98000,112,75
72258,108823,98026,112,75
72268,108848,98040,112,75
72279,108893,98065,112,75
72288,108934,98063,112,75
72299,108925,98081,112,75
72309,108962,98069,112,75
72318,108944,98069,112,75
72329,108964,98088,112,75
72339,108967,98092,112,75
72349,109015,98115,112,75
72359,109099,98113,112,75
72369,109146,98163,112,75
72379,109241,98184,112,75
72389,109298,98221,112,75
72399,109383,98256,112,75
72409,109422,98285,112,75
72419,109482,98311,112,75
72429,109522,98318,112,75
72439,109556,98335,112,75
72449,109593,98323,112,75
72459,109587,98338,112,75
72469,109585,98334,112,75
72479,109579,98331,112,75
72490,109578,98355,112,75
72499,109601,98321,112,75
72510,109616,98363,112,75
72520,109671,98363,112,75
72529,109676,98382,112,75
72540,109724,98402,112,75
72550,109747,98395,112,75
72560,109791,98446,112,75
72570,109861,98429,112,75
72580,109904,98476,112,75
72590,109978,98500,112,75
72600,110006,98514,112,75
72610,110074,98551,112,75
72620,110149,98554,112,75
72630,110172,98596,112,75
72640,110251,98604,112,75
72650,110275,98627,112,75
72660,110323,98654,112,75
72670,110365,98655,112,75
72680,110404,98703,112,75
72690,110476,98690,112,75
72701,110493,98720,112,75
72710,110554,98728,112,75
72721,110565,98726,112,75
72731,110623,98771,112,75
72740,110663,98775,112,75
72751,110663,98809,112,75
72761,110741,98822,112,75
72771,110764,98819,112,75
72781,110836,98871,112,75
72791,110859,98845,112,75
72801,110895,98895,112,75
72811,110949,98890,112,75
72821,110963,98898,112,75
72831,111009,98951,112,75
72841,111029,98921,112,75
72851,111051,98951,112,75
72861,111115,98970,112,75
72871,111131,98986,112,75
72881,111165,99016,112,75
72891,111178,99002,112,75
72902,111224,99052,112,75
72911,111289,99046,112,75
72922,111303,99035,112,75
72932,111380,99086,112,75
72941,111388,99069,112,75
72952,111445,99103,112,75
72962,111480,99122,112,75
72971,111493,99152,112,75
72982,111534,99156,112,75
72992,111542,99151,112,75
73002,111601,99187,112,75
73012,111618,99165,112,75
73022,111659,99208,112,75
73032,111704,99227,112,75
73042,111730,99245,112,75
73052,111779,99254,112,75
73062,111791,99251,112,75
73072,111854,99284,112,75
73082,111880,99289,112,75
73092,111842,99271,112,75
73102,111771,99273,112,75
73112,111553,99152,112,75
73122,111244,99054,112,75
73133,110874,98889,112,75
73142,110442,98732,112,75
73152,110046,98586,112,75
73163,109692,98410,112,75
73173,109444,98321,112,75
73182,109238,98222,112,75
73193,109138,98204,112,75
73203,109046,98161,112,75
73213,109049,98176,112,75
73223,109052,98151,112,75
73233,109093,98178,112,75
73243,109117,98185,112,75
73253,109166,98230,112,75
73263,109192,98226,112,75
73273,109241,98251,112,75
73283,109230,98241,112,75
73293,109275,98275,112,75
73303,109277,98257,112,75
73313,109274,98270,112,75
73323,109308,98261,112,75
73333,109365,98298,112,75
73343,109404,98297,112,75
73353,109496,98348,112,75
73364,109556,98357,112,75
73374,109639,98420,112,75
73383,109700,98403,112,75
73394,109758,98454,112,75
73404,109765,98436,112,75
73414,109777,98469,112,75
73424,109788,98461,112,75
73434,109779,98468,112,75
73444,109793,98454,112,75
73454,109766,98477,112,75
73464,109763,98450,112,75
73474,109780,98469,112,75
73484,109787,98464,112,75
73494,109798,98486,112,75
73504,109799,98448,112,75
73514,109828,98486,112,75
73524,109837,98479,112,75
73534,109891,98523,112,75
73544,109896,98520,112,75
73554,109970,98555,112,75
73564,110010,98540,112,75
73575,110080,98603,112,75
73584,110124,98599,112,75
73594,110154,98631,112,75
73605,110170,98623,112,75
73615,110221,98648,112,75
73624,110230,98678,112,75
73635,110286,98670,112,75
73645,110310,98686,112,75
73655,110386,98706,112,75
73665,110383,98734,112,75
73675,110439,98738,112,75
73685,110430,98757,112,75
73695,110498,98756,112,75
73705,110495,98787,112,75
73715,110535,98783,112,75
73725,110555,98797,112,75
73735,110596,98798,112,75
73745,110602,98823,112,75
73755,110654,98819,112,75
73765,110660,98832,112,75
73776,110719,98857,112,75
73786,110733,98869,112,75
73795,110773,98871,112,75
73806,110783,98885,112,75
73816,110824,98905,112,75
73826,110830,98931,112,75
73836,110884,98916,112,75
73846,110877,98936,112,75
73856,110952,98945,112,75
73866,110958,98973,112,75
73876,111028,98974,112,75
73886,111032,98990,112,75
73896,111064,98995,112,75
73906,111044,98995,112,75
73916,111106,99034,112,75
73926,111099,99024,112,75
73936,111154,99041,112,75
73946,111156,99050,112,75
73956,111205,99079,112,75
73966,111237,99102,112,75
73976,111277,99092,112,75
73986,111249,99089,112,75
73996,111157,99037,112,75
74006,110937,98980,112,75
74017,110678,98851,112,75
74027,110255,98700,112,75
74036,109865,98538,112,75
74046,109473,98397,112,75
74057,109149,98246,112,75
74067,108880,98158,112,75
74076,108678,98025,112,75
74087,108542,98001,112,75
74097,108443,97951,112,75
74107,108420,97922,112,75
74117,108432,97954,112,75
74127,108429,97938,112,75
74137,108491,97969,112,75
74147,108545,97984,112,75
74157,108600,98009,112,75
74167,108605,98023,112,75
74177,108612,98032,112,75
74187,108639,98012,112,75
74197,108660,98031,112,75
74207,108673,98042,112,75
74217,108670,98051,112,75
74227,108697,98040,112,75
74238,108738,98075,112,75
74247,108826,98093,112,75
74257,108895,98137,112,75
74267,108973,98191,112,75
74277,109005,98222,112,75
74288,109062,98220,112,75
74298,109113,98210,112,75
74308,109156,98246,112,75
74318,109168,98259,112,75
74328,109172,98264,112,75
74338,109180,98268,112,75
74348,109176,98254,112,75
74358,109135,98238,112,75
74368,109132,98237,112,75
74378,109098,98240,112,75
74388,109086,98207,112,75
74398,109074,98226,112,75
74408,109115,98220,112,75
74418,109150,98256,112,75
74428,109161,98258,112,75
74438,109169,98275,112,75
74448,109212,98273,112,75
74458,109265,98282,112,75
74469,109331,98310,112,75
74479,109389,98329,112,75
74488,109446,98363,112,75
74498,109487,98392,112,75
74508,109526,98417,112,75
74518,109592,98443,112,75
74529,109630,98442,112,75
74539,109691,98477,112,75
74549,109729,98481,112,75
74559,109773,98492,112,75
74569,109812,98523,112,75
74579,109847,98537,112,75
74589,109859,98562,112,75
74599,109893,98569,112,75
74609,109936,98570,112,75
74619,109967,98587,112,75
74629,109996,98607,112,75
74639,110032,98597,112,75
74649,110060,98608,112,75
74659,110095,98640,112,75
74669,110096,98648,112,75
74679,110104,98660,112,75
74689,110119,98663,112,75
74699,110130,98663,112,75
74709,110156,98650,112,75
74719,110178,98667,112,75
74729,110204,98675,112,75
74739,110227,98678,112,75
74750,110228,98702,112,75
74760,110257,98707,112,75
74770,110276,98724,112,75
74780,110319,98722,112,75
74790,110337,98741,112,75
74800,110363,98755,112,75
74810,110397,98773,112,75
74820,110415,98786,112,75
74830,110444,98783,112,75
74840,110462,98803,112,75
74850,110506,98817,112,75
74860,110521,98831,112,75
74870,110556,98849,112,75
74880,110596,98861,112,75
74890,110637,98871,112,75
74900,110694,98910,112,75
74910,110724,98911,112,75
74920,110764,98928,112,75
74930,110787,98932,112,75
74940,110747,98929,112,75
74950,110616,98869,112,75
74960,110426,98791,112,75
74971,110080,98667,112,75
74981,109706,98486,112,75
74991,109318,98328,112,75
75001,108922,98161,112,75
75011,108591,98015,112,75
75021,108309,97923,112,75
75031,108118,97820,112,75
75041,107982,97802,112,75
75051,107909,97767,112,75
75061,107907,97758,112,75
75071,107905,97765,112,75
75081,107968,97790,112,75
75091,108040,97806,112,75
75101,108089,97846,112,75
75111,108151,97872,112,75
75121,108178,97840,112,75
75131,108207,97854,112,75
75141,108192,97887,112,75
75152,108206,97890,112,75
75162,108221,97874,112,75
75172,108270,97909,112,75
75182,108330,97930,112,75
75192,108389,97972,112,75
75202,108479,98017,112,75
75212,108563,98041,112,75
75222,108627,98076,112,75
75232,108698,98087,112,75
75242,108740,98100,112,75
75252,108761,98127,112,75
75262,108797,98125,112,75
75272,108829,98127,112,75
75282,108825,98168,112,75
