time_ms,ir_raw,red_raw,systolic_label,diastolic_label
45622,91153,91626,116,75
45632,91142,91649,116,75
45643,91172,91646,116,75
45653,91147,91681,116,75
45662,91133,91645,116,75
45673,91046,91587,116,75
45683,90902,91542,116,75
45693,90705,91441,116,75
45703,90485,91338,116,75
45713,90280,91223,116,75
45723,90093,91124,116,75
45733,89972,91041,116,75
45743,89882,91012,116,75
45753,89851,90978,116,75
45763,89828,90975,116,75
45773,89852,90984,116,75
45783,89861,90986,116,75
45793,89907,91013,116,75
45803,89920,91023,116,75
45813,89948,91020,116,75
45823,89939,91016,116,75
45833,89926,91024,116,75
45843,89927,91011,116,75
45853,89895,91004,116,75
45864,89882,90986,116,75
45874,89844,90985,116,75
45883,89841,90974,116,75
45894,89811,90970,116,75
45904,89840,90982,116,75
45914,89846,90972,116,75
45924,89892,91009,116,75
45934,89927,91003,116,75
45944,89984,91040,116,75
45954,90017,91055,116,75
45964,90058,91101,116,75
45974,90090,91111,116,75
45984,90134,91115,116,75
45994,90141,91112,116,75
46004,90131,91137,116,75
46014,90149,91141,116,75
46024,90125,91137,116,75
46034,90153,91129,116,75
46044,90130,91130,116,75
46054,90157,91144,116,75
46064,90156,91130,116,75
46074,90169,91156,116,75
46085,90187,91155,116,75
46095,90226,91171,116,75
46104,90227,91180,116,75
46114,90263,91215,116,75
46125,90297,91211,116,75
46135,90330,91230,116,75
46145,90367,91251,116,75
46155,90426,91271,116,75
46165,90459,91311,116,75
46175,90487,91330,116,75
46185,90520,91345,116,75
46195,90546,91322,116,75
46205,90596,91366,116,75
46215,90606,91362,116,75
46225,90638,91403,116,75
46235,90652,91408,116,75
46245,90678,91420,116,75
46255,90705,91431,116,75
46265,90741,91446,116,75
46275,90758,91452,116,75
46285,90769,91461,116,75
46295,90780,91470,116,75
46306,90775,91459,116,75
46316,90806,91487,116,75
46325,90839,91482,116,75
46335,90843,91509,116,75
46346,90858,91496,116,75
46356,90881,91523,116,75
46366,90875,91515,116,75
46376,90897,91524,116,75
46386,90907,91502,116,75
46396,90882,91507,116,75
46406,90873,91507,116,75
46416,90883,91510,116,75
46426,90878,91526,116,75
46436,90883,91513,116,75
46446,90899,91512,116,75
46456,90873,91513,116,75
46466,90883,91508,116,75
46476,90881,91488,116,75
46486,90892,91519,116,75
46496,90902,91522,116,75
46506,90891,91508,116,75
46516,90931,91529,116,75
46527,90952,91525,116,75
46537,90984,91560,116,75
46546,90976,91547,116,75
46556,90992,91577,116,75
46567,90979,91547,116,75
46577,90898,91524,116,75
46587,90761,91448,116,75
46597,90564,91364,116,75
46607,90339,91249,116,75
46617,90129,91116,116,75
46627,89917,91018,116,75
46637,89740,90937,116,75
46647,89640,90877,116,75
46657,89581,90812,116,75
46667,89561,90830,116,75
46677,89576,90828,116,75
46687,89585,90845,116,75
46697,89653,90863,116,75
46707,89719,90877,116,75
46717,89733,90924,116,75
46727,89741,90921,116,75
46737,89758,90935,116,75
46748,89755,90925,116,75
46758,89712,90926,116,75
46767,89694,90915,116,75
46778,89656,90896,116,75
46788,89654,90893,116,75
46798,89632,90876,116,75
46808,89672,90900,116,75
46818,89682,90892,116,75
46828,89717,90935,116,75
46838,89771,90964,116,75
46848,89819,91015,116,75
46858,89905,91018,116,75
46868,89949,91040,116,75
46878,89988,91067,116,75
46888,90020,91077,116,75
46898,90029,91107,116,75
46908,90039,91102,116,75
46918,90055,91104,116,75
46928,90029,91109,116,75
46938,90033,91113,116,75
46948,90026,91083,116,75
46958,90019,91092,116,75
46969,90010,91098,116,75
46979,89993,91084,116,75
46988,90024,91110,116,75
46999,90030,91086,116,75
47009,90041,91122,116,75
47019,90069,91116,116,75
47029,90083,91147,116,75
47039,90098,91146,116,75
47049,90106,91175,116,75
47059,90146,91159,116,75
47069,90164,91184,116,75
47079,90197,91196,116,75
47089,90224,91188,116,75
47099,90246,91233,116,75
47109,90266,91241,116,75
47119,90292,91270,116,75
47129,90327,91279,116,75
47139,90388,91297,116,75
47149,90443,91289,116,75
47159,90442,91352,116,75
47169,90501,91364,116,75
47180,90502,91347,116,75
47190,90501,91371,116,75
47200,90499,91346,116,75
47209,90496,91352,116,75
47220,90501,91346,116,75
47230,90498,91328,116,75
47240,90515,91384,116,75
47250,90517,91370,116,75
47260,90531,91353,116,75
47270,90540,91371,116,75
47280,90550,91376,116,75
47290,90548,91369,116,75
47300,90562,91375,116,75
47310,90518,91371,116,75
47320,90549,91374,116,75
47330,90560,91393,116,75
47340,90588,91414,116,75
47350,90634,91432,116,75
47361,90665,91431,116,75
47370,90738,91472,116,75
47380,90789,91502,116,75
47390,90870,91557,116,75
47401,90910,91578,116,75
47411,90970,91625,116,75
47421,91014,91635,116,75
47430,91043,91672,116,75
47441,91110,91666,116,75
47451,91136,91703,116,75
47461,91186,91723,116,75
47471,91215,91734,116,75
47481,91235,91756,116,75
47491,91192,91741,116,75
47501,91132,91712,116,75
47511,90962,91646,116,75
47521,90747,91536,116,75
47531,90525,91438,116,75
47541,90302,91302,116,75
47551,90099,91201,116,75
47561,89961,91117,116,75
47571,89856,91047,116,75
47582,89778,91025,116,75
47591,89790,91020,116,75
47601,89818,91027,116,75
47611,89853,91048,116,75
47622,89883,91072,116,75
47632,89932,91091,116,75
47642,89948,91109,116,75
47651,89962,91126,116,75
47662,89964,91103,116,75
47672,89945,91111,116,75
47682,89926,91086,116,75
47692,89896,91087,116,75
47702,89874,91060,116,75
47712,89836,91059,116,75
47722,89836,91045,116,75
47732,89824,91040,116,75
47742,89863,91062,116,75
47752,89889,91075,116,75
47762,89937,91113,116,75
47772,89993,91129,116,75
47782,90030,91163,116,75
47792,90058,91180,116,75
47802,90108,91189,116,75
47812,90104,91207,116,75
47822,90143,91217,116,75
47832,90134,91206,116,75
47842,90121,91230,116,75
47853,90122,91177,116,75
47863,90117,91200,116,75
47872,90138,91204,116,75
47882,90107,91203,116,75
47893,90134,91196,116,75
47903,90152,91215,116,75
47913,90164,91237,116,75
47923,90179,91248,116,75
47933,90233,91251,116,75
47943,90227,91258,116,75
47953,90268,91268,116,75
47963,90284,91284,116,75
47973,90320,91317,116,75
47983,90320,91300,116,75
47993,90358,91332,116,75
48003,90376,91340,116,75
48013,90413,91355,116,75
48023,90436,91349,116,75
48033,90432,91366,116,75
48043,90455,91375,116,75
48053,90475,91396,116,75
48063,90481,91386,116,75
48073,90484,91380,116,75
48084,90494,91389,116,75
48093,90447,91389,116,75
48103,90472,91398,116,75
48114,90453,91381,116,75
48124,90476,91385,116,75
48134,90453,91372,116,75
48144,90466,91381,116,75
48154,90451,91361,116,75
48164,90456,91362,116,75
48174,90441,91339,116,75
48184,90451,91361,116,75
48194,90453,91363,116,75
48204,90454,91361,116,75
48214,90462,91356,116,75
48224,90485,91385,116,75
48234,90517,91376,116,75
48244,90530,91392,116,75
48254,90552,91397,116,75
48264,90587,91416,116,75
48274,90630,91448,116,75
48284,90642,91445,116,75
48294,90692,91478,116,75
48305,90716,91483,116,75
48314,90726,91512,116,75
48324,90744,91524,116,75
48334,90784,91525,116,75
48345,90792,91542,116,75
48355,90812,91556,116,75
48365,90827,91549,116,75
48375,90833,91581,116,75
48385,90867,91586,116,75
48395,90867,91598,116,75
48405,90905,91591,116,75
48415,90898,91594,116,75
48425,90904,91603,116,75
48435,90870,91589,116,75
48445,90890,91580,116,75
48455,90783,91555,116,75
48465,90688,91526,116,75
48475,90506,91418,116,75
48485,90274,91303,116,75
48495,90060,91183,116,75
48505,89818,91060,116,75
48515,89660,90964,116,75
48526,89534,90882,116,75
48535,89456,90852,116,75
48545,89418,90830,116,75
48555,89428,90834,116,75
48566,89463,90860,116,75
48576,89516,90897,116,75
48586,89581,90888,116,75
48596,89632,90954,116,75
48606,89675,90961,116,75
48616,89695,91001,116,75
48626,89741,90989,116,75
48636,89738,91014,116,75
48646,89740,91013,116,75
48656,89743,91025,116,75
48666,89738,91016,116,75
48676,89718,90984,116,75
48686,89733,91014,116,75
48696,89784,91012,116,75
48706,89786,91043,116,75
48716,89867,91076,116,75
48726,89907,91082,116,75
48736,89980,91140,116,75
48747,90005,91127,116,75
48756,90052,91162,116,75
48766,90051,91175,116,75
48776,90088,91207,116,75
48787,90083,91193,116,75
48797,90114,91211,116,75
48807,90117,91178,116,75
48817,90105,91210,116,75
48827,90136,91202,116,75
48837,90118,91210,116,75
48847,90138,91220,116,75
48857,90156,91203,116,75
48867,90184,91240,116,75
48877,90193,91228,116,75
48887,90238,91260,116,75
48897,90238,91271,116,75
48907,90269,91286,116,75
48917,90308,91301,116,75
48927,90340,91330,116,75
48937,90368,91325,116,75
48947,90408,91362,116,75
48957,90429,91359,116,75
48968,90429,91385,116,75
48977,90484,91394,116,75
48987,90482,91386,116,75
48997,90508,91405,116,75
49008,90523,91398,116,75
49018,90517,91421,116,75
49028,90519,91420,116,75
49037,90533,91424,116,75
49048,90563,91407,116,75
49058,90556,91446,116,75
49068,90575,91452,116,75
49078,90588,91451,116,75
49088,90625,91457,116,75
49098,90632,91450,116,75
49108,90662,91483,116,75
49118,90671,91495,116,75
49128,90699,91508,116,75
49138,90710,91530,116,75
49148,90751,91537,116,75
49158,90765,91529,116,75
49168,90791,91544,116,75
49178,90812,91552,116,75
49189,90822,91549,116,75
49198,90852,91587,116,75
49208,90873,91587,116,75
49218,90926,91621,116,75
49229,90943,91619,116,75
49239,90971,91645,116,75
49249,90985,91644,116,75
49258,91025,91665,116,75
49269,91047,91689,116,75
49279,91105,91715,116,75
49289,91116,91714,116,75
49299,91148,91735,116,75
49309,91202,91735,116,75
49319,91236,91781,116,75
49329,91287,91788,116,75
49339,91292,91797,116,75
49349,91350,91817,116,75
49359,91360,91805,116,75
49369,91379,91827,116,75
49379,91287,91784,116,75
49389,91137,91704,116,75
49399,90843,91569,116,75
