time_ms,ir_raw,red_raw,systolic_label,diastolic_label
1055,94982,76377,129,93
1065,94988,76348,129,93
1075,95027,76402,129,93
1086,95046,76390,129,93
1095,95086,76397,129,93
1105,95097,76418,129,93
1115,95118,76422,129,93
1126,95137,76401,129,93
1136,95158,76440,129,93
1146,95148,76410,129,93
1156,95159,76431,129,93
1166,95172,76442,129,93
1176,95135,76440,129,93
1186,95172,76434,129,93
1196,95158,76428,129,93
1206,95154,76440,129,93
1216,95150,76428,129,93
1226,95162,76445,129,93
1236,95168,76438,129,93
1246,95196,76433,129,93
1256,95199,76450,129,93
1266,95195,76459,129,93
1276,95226,76448,129,93
1286,95249,76469,129,93
1296,95255,76459,129,93
1307,95286,76478,129,93
1316,95287,76484,129,93
1326,95307,76507,129,93
1336,95340,76506,129,93
1347,95350,76502,129,93
1357,95371,76503,129,93
1367,95396,76511,129,93
1376,95404,76523,129,93
1387,95411,76537,129,93
1397,95428,76531,129,93
1407,95444,76532,129,93
1417,95460,76537,129,93
1427,95472,76541,129,93
1437,95493,76564,129,93
1447,95507,76559,129,93
1457,95509,76549,129,93
1467,95528,76560,129,93
1477,95534,76564,129,93
1487,95559,76575,129,93
1497,95567,76572,129,93
1507,95596,76577,129,93
1517,95616,76581,129,93
1527,95636,76604,129,93
1537,95642,76588,129,93
1547,95675,76603,129,93
1557,95651,76595,129,93
1567,95665,76605,129,93
1578,95658,76589,129,93
1588,95595,76597,129,93
1597,95523,76569,129,93
1607,95443,76544,129,93
1618,95327,76522,129,93
1628,95244,76476,129,93
1638,95137,76430,129,93
1648,95063,76422,129,93
1658,94992,76386,129,93
1668,94960,76377,129,93
1678,94901,76363,129,93
1688,94880,76355,129,93
1698,94876,76350,129,93
1708,94865,76356,129,93
1718,94856,76344,129,93
1728,94888,76336,129,93
1738,94895,76363,129,93
1748,94912,76360,129,93
1758,94918,76343,129,93
1768,94939,76349,129,93
1778,94946,76362,129,93
1788,94999,76387,129,93
1798,95007,76374,129,93
1808,95080,76415,129,93
1818,95113,76424,129,93
1828,95163,76442,129,93
1838,95165,76422,129,93
1848,95200,76460,129,93
1859,95190,76431,129,93
1869,95227,76467,129,93
1878,95228,76448,129,93
1888,95252,76476,129,93
1899,95267,76468,129,93
1909,95244,76488,129,93
1919,95280,76475,129,93
1929,95253,76471,129,93
1939,95280,76501,129,93
1949,95276,76503,129,93
1959,95304,76494,129,93
1969,95287,76502,129,93
1979,95334,76494,129,93
1989,95335,76501,129,93
1999,95366,76518,129,93
2009,95378,76512,129,93
2019,95386,76513,129,93
2029,95409,76523,129,93
2039,95424,76533,129,93
2049,95430,76554,129,93
2059,95460,76559,129,93
2069,95464,76555,129,93
2079,95506,76574,129,93
2090,95508,76567,129,93
2099,95540,76583,129,93
2109,95551,76576,129,93
2119,95560,76588,129,93
2130,95570,76593,129,93
2140,95604,76594,129,93
2150,95623,76607,129,93
2160,95609,76613,129,93
2170,95635,76625,129,93
2180,95630,76619,129,93
2190,95691,76640,129,93
2200,95685,76626,129,93
2210,95711,76633,129,93
2220,95738,76637,129,93
2230,95760,76652,129,93
2240,95766,76642,129,93
2250,95793,76649,129,93
2260,95800,76669,129,93
2270,95823,76659,129,93
2280,95818,76654,129,93
2290,95782,76658,129,93
2300,95730,76631,129,93
2310,95625,76619,129,93
2320,95556,76587,129,93
2330,95416,76560,129,93
2340,95344,76507,129,93
2351,95249,76481,129,93
2361,95160,76471,129,93
2371,95108,76429,129,93
2380,95057,76434,129,93
2391,95041,76413,129,93
2401,95011,76401,129,93
2411,94974,76404,129,93
2421,94988,76403,129,93
2431,94989,76403,129,93
2441,94991,76410,129,93
2451,94985,76391,129,93
2461,95000,76404,129,93
2471,95013,76393,129,93
2481,95024,76405,129,93
2491,95031,76405,129,93
2501,95029,76421,129,93
2511,95101,76440,129,93
2521,95094,76436,129,93
2531,95133,76451,129,93
2541,95155,76446,129,93
2551,95203,76473,129,93
2561,95213,76484,129,93
2571,95249,76481,129,93
2582,95245,76511,129,93
2592,95281,76509,129,93
2601,95279,76502,129,93
2611,95305,76515,129,93
2622,95311,76517,129,93
2632,95292,76514,129,93
2642,95329,76511,129,93
2652,95322,76520,129,93
2662,95346,76536,129,93
2672,95341,76535,129,93
2682,95375,76549,129,93
2692,95392,76540,129,93
2702,95393,76550,129,93
2712,95394,76545,129,93
2722,95420,76558,129,93
2732,95413,76562,129,93
2742,95440,76571,129,93
2752,95440,76586,129,93
2762,95450,76575,129,93
2772,95457,76556,129,93
2782,95457,76575,129,93
2792,95460,76581,129,93
2802,95455,76577,129,93
2813,95459,76590,129,93
2822,95430,76578,129,93
2832,95446,76588,129,93
2843,95441,76583,129,93
2853,95460,76578,129,93
2863,95452,76569,129,93
2873,95453,76591,129,93
2883,95462,76566,129,93
2893,95473,76592,129,93
2903,95484,76577,129,93
2913,95503,76590,129,93
2923,95522,76588,129,93
2933,95524,76590,129,93
2943,95528,76611,129,93
2953,95543,76608,129,93
2963,95539,76620,129,93
2973,95571,76624,129,93
2983,95548,76616,129,93
2993,95559,76610,129,93
3003,95499,76581,129,93
3013,95437,76575,129,93
3023,95338,76540,129,93
3033,95231,76511,129,93
3043,95129,76471,129,93
3053,95051,76434,129,93
3063,94962,76433,129,93
3074,94903,76410,129,93
3084,94863,76398,129,93
3094,94815,76379,129,93
3103,94813,76376,129,93
3114,94773,76361,129,93
3124,94787,76351,129,93
3134,94763,76352,129,93
3144,94767,76373,129,93
3154,94768,76344,129,93
3164,94783,76372,129,93
3174,94771,76364,129,93
3184,94800,76377,129,93
3194,94800,76374,129,93
3204,94824,76385,129,93
3214,94832,76402,129,93
3224,94876,76412,129,93
3234,94892,76413,129,93
3244,94935,76417,129,93
3254,94954,76412,129,93
3264,94955,76434,129,93
3274,94966,76419,129,93
3284,94969,76460,129,93
3294,94984,76443,129,93
3304,94978,76446,129,93
3315,95000,76459,129,93
3324,94991,76467,129,93
3334,94996,76475,129,93
3345,94989,76461,129,93
3355,95034,76467,129,93
3365,95022,76480,129,93
3375,95057,76481,129,93
3385,95068,76464,129,93
3395,95095,76476,129,93
3405,95099,76500,129,93
3415,95135,76528,129,93
3425,95139,76517,129,93
3435,95175,76517,129,93
3445,95201,76550,129,93
3455,95240,76561,129,93
3465,95235,76561,129,93
3475,95287,76582,129,93
3485,95279,76572,129,93
3495,95314,76578,129,93
3505,95317,76576,129,93
3515,95361,76605,129,93
3525,95381,76614,129,93
3535,95400,76617,129,93
3545,95426,76612,129,93
3555,95455,76635,129,93
3565,95460,76632,129,93
3575,95465,76634,129,93
3586,95482,76665,129,93
3596,95493,76653,129,93
3605,95524,76664,129,93
3616,95530,76675,129,93
3626,95559,76680,129,93
3636,95560,76677,129,93
3646,95594,76681,129,93
3656,95614,76671,129,93
3666,95620,76709,129,93
3676,95663,76697,129,93
3686,95657,76711,129,93
3696,95698,76712,129,93
3706,95704,76721,129,93
3716,95707,76724,129,93
3726,95689,76725,129,93
3736,95633,76717,129,93
3746,95582,76693,129,93
3756,95490,76684,129,93
3766,95405,76645,129,93
3776,95296,76593,129,93
3786,95207,76586,129,93
3796,95132,76548,129,93
3806,95093,76534,129,93
3817,95042,76509,129,93
3826,95004,76518,129,93
3836,94993,76516,129,93
3847,94986,76517,129,93
3857,95009,76514,129,93
3867,95010,76502,129,93
3877,95021,76522,129,93
3887,95034,76498,129,93
3897,95047,76521,129,93
3907,95072,76516,129,93
3917,95092,76535,129,93
3927,95097,76547,129,93
3937,95133,76558,129,93
3947,95155,76578,129,93
3957,95204,76574,129,93
3967,95242,76596,129,93
3977,95269,76608,129,93
3987,95288,76591,129,93
3997,95314,76614,129,93
4007,95332,76628,129,93
4017,95335,76638,129,93
4027,95354,76623,129,93
4038,95347,76640,129,93
4047,95357,76644,129,93
4057,95360,76641,129,93
4067,95371,76652,129,93
4078,95349,76631,129,93
4088,95357,76646,129,93
4098,95387,76635,129,93
4107,95370,76653,129,93
4118,95392,76647,129,93
4128,95386,76662,129,93
4138,95434,76679,129,93
4148,95440,76682,129,93
4158,95430,76700,129,93
4168,95468,76684,129,93
4178,95462,76699,129,93
4188,95505,76700,129,93
4198,95513,76698,129,93
4208,95534,76709,129,93
4218,95549,76707,129,93
4228,95569,76738,129,93
4238,95589,76722,129,93
4248,95585,76733,129,93
4258,95608,76735,129,93
4268,95614,76759,129,93
4278,95637,76762,129,93
4288,95653,76739,129,93
4298,95673,76765,129,93
4309,95683,76749,129,93
4319,95680,76773,129,93
4328,95695,76771,129,93
4338,95705,76772,129,93
4349,95713,76789,129,93
4359,95734,76776,129,93
4369,95705,76801,129,93
4379,95739,76799,129,93
4389,95744,76789,129,93
4399,95763,76804,129,93
4409,95770,76782,129,93
4419,95773,76815,129,93
4429,95785,76803,129,93
4439,95794,76798,129,93
4449,95793,76797,129,93
4459,95747,76794,129,93
4469,95703,76786,129,93
4479,95625,76748,129,93
4489,95546,76721,129,93
4499,95407,76689,129,93
4509,95312,76649,129,93
4519,95198,76626,129,93
4529,95131,76610,129,93
4540,95061,76576,129,93
4549,95012,76570,129,93
4559,94982,76547,129,93
4569,94981,76547,129,93
4580,94941,76528,129,93
4590,94992,76534,129,93
4600,94956,76542,129,93
4609,94977,76551,129,93
4620,94980,76528,129,93
4630,94995,76549,129,93
4640,95012,76543,129,93
4650,95037,76548,129,93
4660,95055,76563,129,93
4670,95072,76575,129,93
4680,95115,76593,129,93
4690,95144,76596,129,93
4700,95172,76607,129,93
4710,95201,76635,129,93
4720,95230,76639,129,93
4730,95233,76627,129,93
4740,95256,76665,129,93
4750,95265,76638,129,93
4760,95271,76656,129,93
4770,95256,76640,129,93
4780,95265,76646,129,93
4790,95268,76664,129,93
4800,95268,76666,129,93
4811,95258,76664,129,93
4821,95280,76652,129,93
4830,95287,76654,129,93
4840,95301,76677,129,93
4851,95313,76663,129,93
4861,95313,76679,129,93
4871,95332,76668,129,93
4881,95343,76681,129,93
4891,95371,76684,129,93
4901,95374,76692,129,93
4911,95417,76709,129,93
4921,95425,76699,129,93
4931,95448,76725,129,93
4941,95458,76735,129,93
4951,95479,76734,129,93
4961,95487,76757,129,93
4971,95507,76737,129,93
4981,95505,76755,129,93
4991,95529,76768,129,93
5001,95565,76754,129,93
5011,95558,76760,129,93
5021,95576,76775,129,93
5031,95580,76770,129,93
5042,95595,76775,129,93
5051,95613,76781,129,93
5061,95633,76796,129,93
5072,95643,76794,129,93
5082,95659,76815,129,93
5092,95661,76810,129,93
5102,95692,76808,129,93
5112,95700,76805,129,93
5122,95724,76833,129,93
5132,95745,76827,129,93
5142,95750,76838,129,93
5152,95754,76817,129,93
5162,95745,76836,129,93
5172,95735,76797,129,93
5182,95658,76808,129,93
5192,95570,76773,129,93
5202,95467,76755,129,93
5212,95355,76718,129,93
5222,95254,76707,129,93
5232,95152,76651,129,93
5242,95094,76635,129,93
5252,95029,76625,129,93
5262,95003,76606,129,93
5272,94957,76586,129,93
5282,94937,76580,129,93
5292,94931,76566,129,93
5302,94933,76596,129,93
5313,94928,76565,129,93
5323,94941,76590,129,93
5332,94940,76573,129,93
5342,94958,76592,129,93
5353,94951,76593,129,93
5363,94993,76611,129,93
5373,94990,76603,129,93
5383,95027,76611,129,93
5393,95034,76608,129,93
5403,95070,76631,129,93
5413,95083,76647,129,93
5423,95118,76641,129,93
5433,95148,76643,129,93
5443,95133,76658,129,93
5453,95144,76671,129,93
5463,95156,76665,129,93
5473,95152,76661,129,93
5483,95125,76665,129,93
5493,95147,76668,129,93
5503,95127,76658,129,93
5513,95145,76671,129,93
5523,95145,76670,129,93
5533,95175,76684,129,93
5544,95193,76685,129,93
5553,95227,76719,129,93
5563,95233,76711,129,93
5573,95251,76728,129,93
5584,95263,76715,129,93
5594,95291,76734,129,93
5604,95300,76728,129,93
5613,95316,76745,129,93
5624,95324,76734,129,93
5634,95347,76748,129,93
5644,95351,76764,129,93
5654,95371,76764,129,93
5664,95388,76756,129,93
5674,95391,76771,129,93
5684,95412,76780,129,93
5694,95417,76779,129,93
5704,95451,76797,129,93
5714,95455,76791,129,93
5724,95483,76803,129,93
5734,95496,76798,129,93
5744,95494,76808,129,93
5754,95510,76795,129,93
5764,95498,76801,129,93
5774,95505,76808,129,93
5784,95512,76815,129,93
5794,95506,76822,129,93
5804,95535,76824,129,93
5815,95539,76817,129,93
5825,95562,76830,129,93
5834,95574,76825,129,93
5844,95574,76839,129,93
5855,95589,76836,129,93
5865,95614,76867,129,93
5875,95629,76853,129,93
5885,95627,76864,129,93
5895,95583,76849,129,93
5905,95492,76811,129,93
5915,95400,76795,129,93
5925,95285,76755,129,93
5935,95186,76726,129,93
5945,95070,76681,129,93
5955,95001,76663,129,93
5965,94922,76639,129,93
