time_ms,ir_raw,red_raw,systolic_label,diastolic_label
112890,109017,101391,142,83
112900,108958,101368,142,83
112910,108917,101361,142,83
112920,108856,101349,142,83
112930,108815,101316,142,83
112940,108760,101295,142,83
112950,108713,101284,142,83
112960,108705,101264,142,83
112970,108654,101261,142,83
112980,108626,101261,142,83
112990,108600,101228,142,83
113000,108599,101225,142,83
113010,108592,101222,142,83
113020,108589,101227,142,83
113030,108580,101237,142,83
113040,108602,101194,142,83
113051,108597,101219,142,83
113061,108640,101228,142,83
113071,108656,101239,142,83
113081,108631,101239,142,83
113091,108662,101216,142,83
113101,108658,101229,142,83
113111,108666,101247,142,83
113121,108695,101256,142,83
113131,108677,101248,142,83
113141,108674,101232,142,83
113151,108686,101222,142,83
113161,108695,101249,142,83
113171,108700,101268,142,83
113181,108691,101218,142,83
113191,108700,101241,142,83
113201,108710,101258,142,83
113211,108705,101249,142,83
113221,108703,101239,142,83
113231,108721,101245,142,83
113241,108730,101253,142,83
113251,108750,101259,142,83
113261,108752,101251,142,83
113271,108749,101228,142,83
113281,108750,101259,142,83
113291,108787,101265,142,83
113301,108797,101271,142,83
113311,108793,101264,142,83
113321,108806,101271,142,83
113332,108817,101266,142,83
113342,108834,101287,142,83
113352,108848,101286,142,83
113362,108829,101288,142,83
113372,108858,101283,142,83
113382,108858,101296,142,83
113392,108891,101295,142,83
113402,108917,101319,142,83
113412,108867,101307,142,83
113422,108898,101290,142,83
113432,108925,101308,142,83
113442,108947,101321,142,83
113452,108963,101315,142,83
113462,108957,101301,142,83
113472,108959,101319,142,83
113482,108984,101333,142,83
113492,109001,101332,142,83
113502,109003,101316,142,83
113512,108973,101319,142,83
113522,109009,101337,142,83
113533,109025,101359,142,83
113543,109038,101340,142,83
113553,109024,101345,142,83
113563,109035,101346,142,83
113573,109057,101345,142,83
113583,109079,101363,142,83
113593,109081,101379,142,83
113603,109068,101368,142,83
113613,109092,101376,142,83
113623,109107,101382,142,83
113633,109119,101385,142,83
113643,109118,101386,142,83
113653,109120,101384,142,83
113663,109116,101365,142,83
113673,109139,101379,142,83
113683,109126,101393,142,83
113693,109074,101370,142,83
113703,109068,101341,142,83
113713,109009,101330,142,83
113723,108971,101336,142,83
113733,108945,101312,142,83
113743,108873,101290,142,83
113753,108814,101257,142,83
113763,108756,101232,142,83
113773,108687,101210,142,83
113783,108646,101201,142,83
113793,108603,101167,142,83
113803,108550,101150,142,83
113813,108516,101122,142,83
113824,108474,101128,142,83
113834,108449,101120,142,83
113844,108414,101101,142,83
113854,108389,101074,142,83
113864,108352,101063,142,83
113874,108349,101076,142,83
113884,108359,101068,142,83
113894,108349,101067,142,83
113904,108349,101053,142,83
113914,108359,101074,142,83
113924,108382,101055,142,83
113934,108401,101089,142,83
113944,108418,101083,142,83
113954,108411,101063,142,83
113964,108415,101087,142,83
