time_ms,ir_raw,red_raw,systolic_label,diastolic_label
1040,99172,94819,130,74
1050,99188,94855,130,74
1059,99208,94840,130,74
1069,99242,94841,130,74
1080,99262,94875,130,74
1090,99297,94871,130,74
1100,99324,94887,130,74
1110,99381,94906,130,74
1120,99429,94929,130,74
1130,99492,94953,130,74
1140,99526,94996,130,74
1150,99588,95010,130,74
1160,99639,95018,130,74
1170,99666,95068,130,74
1180,99708,95064,130,74
1190,99768,95092,130,74
1200,99793,95089,130,74
1210,99828,95128,130,74
1220,99871,95150,130,74
1230,99888,95162,130,74
1240,99930,95161,130,74
1250,99914,95184,130,74
1260,99912,95145,130,74
1270,99842,95145,130,74
1280,99720,95071,130,74
1290,99577,95009,130,74
1300,99390,94957,130,74
1311,99220,94867,130,74
1321,99091,94818,130,74
1331,98923,94754,130,74
1340,98834,94711,130,74
1351,98732,94671,130,74
1361,98676,94657,130,74
1371,98622,94613,130,74
1381,98625,94605,130,74
1391,98600,94627,130,74
1401,98619,94633,130,74
1411,98616,94618,130,74
1421,98640,94626,130,74
1431,98653,94628,130,74
1441,98683,94643,130,74
1451,98714,94645,130,74
1461,98786,94685,130,74
1471,98834,94702,130,74
1481,98889,94743,130,74
1491,98937,94749,130,74
1501,98982,94772,130,74
1511,99040,94800,130,74
1521,99109,94844,130,74
1531,99182,94865,130,74
1542,99200,94855,130,74
1552,99265,94889,130,74
1561,99292,94888,130,74
1571,99305,94909,130,74
1582,99279,94910,130,74
1592,99280,94906,130,74
1602,99246,94879,130,74
1612,99246,94876,130,74
1622,99214,94844,130,74
1632,99214,94844,130,74
1642,99220,94849,130,74
1652,99216,94863,130,74
1662,99233,94845,130,74
1672,99231,94886,130,74
1682,99262,94889,130,74
1692,99256,94878,130,74
1702,99299,94899,130,74
1712,99293,94916,130,74
1722,99331,94928,130,74
1732,99347,94928,130,74
1742,99378,94941,130,74
1752,99393,94938,130,74
1762,99414,94950,130,74
1773,99421,94952,130,74
1782,99434,94956,130,74
1792,99448,94949,130,74
1802,99478,94982,130,74
1813,99482,94977,130,74
1823,99512,94991,130,74
1833,99521,95007,130,74
1842,99574,95015,130,74
1853,99577,95018,130,74
1863,99622,95032,130,74
1873,99632,95042,130,74
1883,99660,95040,130,74
1893,99689,95046,130,74
1903,99717,95062,130,74
1913,99725,95075,130,74
1923,99768,95065,130,74
1933,99779,95102,130,74
1943,99789,95090,130,74
1953,99819,95087,130,74
1963,99829,95104,130,74
1973,99842,95113,130,74
1983,99859,95136,130,74
1993,99898,95132,130,74
2003,99906,95146,130,74
2013,99902,95142,130,74
2023,99827,95106,130,74
2033,99751,95082,130,74
2044,99579,95000,130,74
2054,99428,94947,130,74
2063,99264,94841,130,74
2073,99079,94803,130,74
2084,98931,94711,130,74
2094,98817,94673,130,74
2104,98691,94624,130,74
2114,98634,94603,130,74
2124,98564,94562,130,74
2134,98549,94570,130,74
2144,98563,94567,130,74
2154,98578,94573,130,74
2164,98565,94561,130,74
2174,98585,94582,130,74
2184,98592,94567,130,74
2194,98616,94587,130,74
2204,98651,94603,130,74
2214,98692,94623,130,74
2224,98747,94629,130,74
2234,98786,94657,130,74
2244,98839,94679,130,74
2254,98904,94696,130,74
2264,98974,94738,130,74
2275,98994,94752,130,74
2284,99052,94749,130,74
2294,99077,94771,130,74
