time_ms,ir_raw,red_raw,systolic_label,diastolic_label
23794,110014,106883,123,90
23803,110017,106876,123,90
23814,110041,106898,123,90
23824,110060,106912,123,90
23834,110080,106916,123,90
23844,110061,106917,123,90
23854,110098,106924,123,90
23864,110109,106921,123,90
23874,110142,106923,123,90
23884,110172,106929,123,90
23894,110208,106976,123,90
23904,110231,106960,123,90
23914,110286,107012,123,90
23924,110308,107017,123,90
23934,110405,107047,123,90
23944,110420,107062,123,90
23954,110451,107084,123,90
23964,110506,107093,123,90
23974,110524,107102,123,90
23984,110575,107082,123,90
23994,110554,107122,123,90
24005,110573,107130,123,90
24015,110551,107106,123,90
24024,110582,107100,123,90
24035,110566,107125,123,90
24045,110600,107120,123,90
24055,110600,107110,123,90
24065,110608,107122,123,90
24075,110623,107109,123,90
24085,110653,107137,123,90
24095,110653,107141,123,90
24105,110686,107150,123,90
24115,110699,107164,123,90
24125,110719,107172,123,90
24135,110717,107180,123,90
24145,110762,107187,123,90
24155,110769,107191,123,90
24165,110803,107206,123,90
24175,110806,107205,123,90
24185,110805,107226,123,90
24195,110858,107223,123,90
24205,110893,107230,123,90
24215,110898,107247,123,90
24226,110916,107241,123,90
24236,110928,107271,123,90
24245,110963,107263,123,90
24255,110963,107270,123,90
24266,110976,107286,123,90
24276,111012,107301,123,90
24286,111010,107292,123,90
24296,111040,107309,123,90
24306,111061,107300,123,90
24316,111062,107321,123,90
24326,111112,107337,123,90
24336,111111,107330,123,90
24346,111141,107337,123,90
24356,111143,107344,123,90
24366,111182,107365,123,90
24376,111197,107366,123,90
24386,111225,107380,123,90
24396,111227,107368,123,90
24406,111247,107398,123,90
24416,111209,107378,123,90
24426,111181,107368,123,90
24436,111088,107319,123,90
24446,110943,107282,123,90
24457,110772,107209,123,90
24466,110559,107109,123,90
24476,110391,107056,123,90
24487,110231,106988,123,90
24497,110117,106945,123,90
24507,110032,106892,123,90
24517,110009,106894,123,90
24527,109959,106881,123,90
24537,109952,106872,123,90
24547,109958,106864,123,90
24557,109939,106869,123,90
24567,109956,106886,123,90
24577,109934,106852,123,90
24587,109983,106874,123,90
24597,110009,106867,123,90
24607,110009,106886,123,90
24617,110031,106911,123,90
24627,110040,106908,123,90
24637,110082,106893,123,90
24647,110105,106925,123,90
24657,110145,106930,123,90
24668,110176,106954,123,90
24678,110240,106971,123,90
24687,110311,106987,123,90
24697,110353,107042,123,90
24708,110410,107023,123,90
24718,110441,107054,123,90
24728,110454,107070,123,90
24738,110493,107077,123,90
24748,110510,107075,123,90
24758,110525,107094,123,90
24768,110527,107078,123,90
24778,110527,107102,123,90
24788,110572,107109,123,90
24798,110563,107115,123,90
24808,110589,107124,123,90
24818,110609,107118,123,90
24828,110596,107144,123,90
24838,110612,107134,123,90
24848,110647,107139,123,90
24858,110647,107150,123,90
24868,110683,107170,123,90
24878,110703,107158,123,90
24888,110719,107185,123,90
24899,110754,107176,123,90
24908,110749,107198,123,90
24918,110799,107206,123,90
24929,110803,107237,123,90
24939,110837,107226,123,90
24949,110870,107214,123,90
24959,110876,107251,123,90
24969,110912,107249,123,90
24979,110931,107270,123,90
24989,110950,107276,123,90
24999,110987,107288,123,90
25009,110999,107302,123,90
25019,111015,107302,123,90
25029,111035,107302,123,90
25039,111048,107326,123,90
25049,111078,107312,123,90
25059,111069,107332,123,90
25069,111109,107357,123,90
25079,111110,107352,123,90
25089,111167,107347,123,90
25099,111146,107352,123,90
25109,111181,107374,123,90
25120,111204,107371,123,90
25129,111215,107384,123,90
25139,111248,107403,123,90
25149,111262,107412,123,90
25160,111272,107416,123,90
25170,111293,107432,123,90
25180,111307,107441,123,90
25189,111316,107444,123,90
25200,111338,107454,123,90
25210,111311,107427,123,90
25220,111230,107389,123,90
25230,111112,107359,123,90
25240,110965,107274,123,90
25250,110782,107225,123,90
25260,110588,107156,123,90
25270,110405,107084,123,90
25280,110268,107024,123,90
25290,110157,106961,123,90
25300,110109,106957,123,90
25310,110052,106935,123,90
25320,110041,106943,123,90
25330,110025,106911,123,90
25340,110031,106923,123,90
25350,110008,106900,123,90
25360,110029,106921,123,90
25370,110029,106908,123,90
25380,110035,106928,123,90
25391,110062,106929,123,90
25401,110081,106939,123,90
25410,110080,106962,123,90
25420,110138,106956,123,90
25431,110149,106960,123,90
25441,110174,106981,123,90
25451,110217,106990,123,90
25461,110263,107021,123,90
25471,110323,107037,123,90
25481,110375,107052,123,90
25491,110430,107050,123,90
25501,110473,107087,123,90
25511,110508,107103,123,90
25521,110518,107111,123,90
25531,110551,107125,123,90
25541,110555,107130,123,90
25551,110589,107132,123,90
25561,110577,107149,123,90
25571,110578,107149,123,90
25581,110595,107137,123,90
25591,110613,107159,123,90
25601,110618,107147,123,90
25611,110628,107165,123,90
25622,110659,107169,123,90
25631,110663,107179,123,90
25641,110677,107184,123,90
25651,110700,107190,123,90
25662,110699,107210,123,90
25672,110715,107209,123,90
25682,110737,107207,123,90
25691,110759,107224,123,90
25702,110788,107203,123,90
25712,110814,107234,123,90
25722,110835,107229,123,90
25732,110834,107265,123,90
25742,110887,107245,123,90
25752,110895,107264,123,90
25762,110917,107279,123,90
25772,110920,107296,123,90
25782,110958,107291,123,90
25792,110951,107303,123,90
25802,110991,107313,123,90
25812,111020,107299,123,90
25822,111046,107329,123,90
25832,111052,107321,123,90
25842,111064,107349,123,90
25852,111069,107344,123,90
25862,111096,107357,123,90
25872,111122,107362,123,90
25882,111121,107360,123,90
25893,111161,107355,123,90
25903,111138,107372,123,90
25912,111178,107388,123,90
25923,111189,107396,123,90
25933,111211,107403,123,90
25943,111238,107400,123,90
25953,111253,107417,123,90
25963,111278,107414,123,90
25973,111284,107455,123,90
25983,111294,107423,123,90
25993,111280,107432,123,90
26003,111227,107417,123,90
26013,111138,107379,123,90
26023,110994,107302,123,90
26033,110822,107256,123,90
26043,110643,107176,123,90
26053,110427,107103,123,90
26063,110297,107049,123,90
26073,110180,106983,123,90
26083,110109,106957,123,90
26093,110077,106936,123,90
26103,110079,106933,123,90
26114,110059,106934,123,90
26124,110065,106942,123,90
26133,110064,106942,123,90
26143,110075,106950,123,90
26154,110079,106928,123,90
26164,110092,106949,123,90
26174,110113,106947,123,90
26184,110127,106957,123,90
26194,110153,106974,123,90
26204,110158,106985,123,90
26214,110202,106984,123,90
26224,110233,107013,123,90
26234,110288,107024,123,90
26244,110334,107032,123,90
26254,110381,107061,123,90
