time_ms,ir_raw,red_raw,systolic_label,diastolic_label
1040,87014,90874,136,96
1050,87017,90863,136,96
1060,87026,90859,136,96
1070,87020,90848,136,96
1080,87056,90867,136,96
1090,87054,90870,136,96
1100,87066,90856,136,96
1110,87068,90881,136,96
1121,87071,90878,136,96
1131,87063,90874,136,96
1141,87076,90875,136,96
1150,87111,90890,136,96
1161,87113,90895,136,96
1171,87123,90879,136,96
1181,87161,90924,136,96
1191,87168,90923,136,96
1201,87189,90907,136,96
1211,87208,90934,136,96
1221,87226,90946,136,96
1231,87214,90915,136,96
1241,87255,90934,136,96
1251,87292,90967,136,96
1261,87305,90966,136,96
1271,87311,90956,136,96
1281,87375,90990,136,96
1291,87372,90982,136,96
1301,87385,90993,136,96
1311,87418,91015,136,96
1321,87457,91003,136,96
1332,87432,91017,136,96
1342,87465,91031,136,96
1351,87488,91055,136,96
1361,87500,91039,136,96
1372,87501,91052,136,96
1382,87554,91072,136,96
1392,87585,91069,136,96
1402,87590,91073,136,96
1412,87633,91093,136,96
1422,87638,91113,136,96
1432,87632,91096,136,96
1442,87669,91117,136,96
1452,87667,91104,136,96
1462,87624,91083,136,96
1472,87588,91081,136,96
1482,87518,91056,136,96
1492,87433,90996,136,96
1502,87308,90944,136,96
1512,87240,90950,136,96
1522,87182,90934,136,96
1532,87120,90906,136,96
1542,87067,90904,136,96
1552,87049,90900,136,96
1562,87007,90866,136,96
1572,86997,90873,136,96
1583,86980,90890,136,96
1593,86971,90850,136,96
1603,86950,90865,136,96
1612,86956,90845,136,96
1623,86945,90845,136,96
1633,86951,90838,136,96
1643,86974,90869,136,96
1653,86981,90857,136,96
1663,86999,90874,136,96
1673,87037,90876,136,96
1683,87060,90881,136,96
1693,87078,90894,136,96
1703,87107,90902,136,96
1713,87143,90923,136,96
1723,87163,90930,136,96
1733,87179,90916,136,96
1743,87208,90915,136,96
1753,87210,90930,136,96
1763,87224,90949,136,96
1773,87221,90931,136,96
1783,87229,90930,136,96
1793,87235,90951,136,96
1803,87261,90948,136,96
1813,87222,90937,136,96
1823,87226,90953,136,96
1834,87265,90948,136,96
1844,87250,90935,136,96
1854,87265,90938,136,96
1863,87296,90950,136,96
1874,87291,90965,136,96
1884,87299,90947,136,96
1894,87305,90953,136,96
1904,87328,90981,136,96
1914,87327,90967,136,96
1924,87348,90976,136,96
1934,87375,90984,136,96
1944,87366,90958,136,96
1954,87380,90963,136,96
1964,87408,90988,136,96
1974,87438,90988,136,96
1984,87430,90981,136,96
1994,87454,91011,136,96
2004,87471,91008,136,96
2014,87482,91026,136,96
2024,87514,91012,136,96
2034,87517,91036,136,96
2045,87523,91021,136,96
2055,87554,91036,136,96
2064,87570,91062,136,96
2074,87571,91030,136,96
2085,87586,91040,136,96
2095,87637,91067,136,96
2105,87636,91075,136,96
2115,87659,91066,136,96
2125,87656,91083,136,96
2135,87686,91077,136,96
2145,87677,91092,136,96
2155,87676,91106,136,96
2165,87672,91071,136,96
2175,87634,91042,136,96
2185,87567,91037,136,96
2195,87505,91030,136,96
2205,87444,90994,136,96
2215,87341,90945,136,96
2225,87270,90942,136,96
2235,87204,90926,136,96
2245,87116,90884,136,96
2256,87088,90857,136,96
2265,87043,90865,136,96
2275,87009,90842,136,96
2285,86964,90819,136,96
2296,86958,90845,136,96
2306,86918,90794,136,96
2316,86918,90794,136,96
2325,86908,90815,136,96
2336,86903,90788,136,96
2346,86892,90782,136,96
2356,86891,90816,136,96
2366,86921,90802,136,96
2376,86911,90792,136,96
2386,86938,90803,136,96
2396,86992,90833,136,96
2406,87018,90841,136,96
2416,87047,90845,136,96
2426,87077,90878,136,96
2436,87096,90881,136,96
2446,87110,90893,136,96
2456,87124,90893,136,96
2466,87149,90897,136,96
2476,87136,90896,136,96
2486,87152,90894,136,96
2496,87158,90907,136,96
2507,87147,90889,136,96
2517,87132,90895,136,96
2526,87167,90916,136,96
2536,87175,90929,136,96
2547,87169,90931,136,96
2557,87174,90924,136,96
2567,87212,90946,136,96
2577,87206,90923,136,96
2587,87206,90946,136,96
2597,87239,90964,136,96
2607,87251,90947,136,96
2617,87255,90960,136,96
2627,87278,90976,136,96
2637,87285,90972,136,96
2647,87306,90971,136,96
2657,87332,90985,136,96
2667,87349,90998,136,96
2677,87375,91003,136,96
2687,87364,90992,136,96
2697,87389,91028,136,96
2707,87386,91013,136,96
2718,87407,91038,136,96
2727,87454,91038,136,96
2737,87451,91021,136,96
2747,87459,91039,136,96
2758,87495,91058,136,96
2768,87528,91082,136,96
2778,87523,91060,136,96
2787,87536,91091,136,96
2798,87552,91080,136,96
2808,87536,91090,136,96
2818,87566,91106,136,96
2828,87597,91108,136,96
2838,87585,91084,136,96
2848,87593,91103,136,96
2858,87622,91115,136,96
2868,87590,91098,136,96
2878,87562,91095,136,96
2888,87515,91069,136,96
2898,87451,91048,136,96
2908,87354,91031,136,96
2918,87292,90999,136,96
2928,87248,90991,136,96
2938,87136,90942,136,96
2948,87054,90934,136,96
2958,87021,90945,136,96
2969,86986,90898,136,96
2979,86915,90860,136,96
2988,86884,90873,136,96
2998,86859,90852,136,96
3009,86859,90823,136,96
3019,86833,90827,136,96
3029,86796,90837,136,96
3039,86818,90807,136,96
3049,86811,90839,136,96
3059,86834,90845,136,96
3069,86821,90806,136,96
3079,86845,90846,136,96
3089,86910,90874,136,96
3099,86931,90876,136,96
3109,86956,90877,136,96
3119,87001,90904,136,96
3129,87018,90918,136,96
3139,87042,90906,136,96
3149,87092,90940,136,96
3159,87110,90934,136,96
3169,87083,90936,136,96
3180,87095,90919,136,96
3189,87125,90963,136,96
3199,87141,90973,136,96
3209,87125,90972,136,96
3220,87164,90976,136,96
3230,87160,90967,136,96
3240,87167,90990,136,96
3249,87173,91012,136,96
3260,87189,90993,136,96
3270,87192,90995,136,96
3280,87212,91020,136,96
3290,87227,91024,136,96
3300,87227,91021,136,96
3310,87260,91031,136,96
3320,87272,91050,136,96
3330,87301,91064,136,96
3340,87309,91060,136,96
3350,87319,91074,136,96
3360,87319,91083,136,96
3370,87349,91095,136,96
3380,87376,91093,136,96
