time_ms,ir_raw,red_raw,systolic_label,diastolic_label
28503,108568,96824,109,71
28513,108626,96852,109,71
28523,108658,96866,109,71
28533,108668,96905,109,71
28543,108724,96888,109,71
28553,108769,96919,109,71
28563,108814,96938,109,71
28573,108844,96942,109,71
28583,108854,96977,109,71
28593,108949,96994,109,71
28603,108973,97022,109,71
28613,109018,97065,109,71
28623,109052,97062,109,71
28633,109111,97083,109,71
28644,109160,97113,109,71
28653,109199,97106,109,71
28664,109254,97166,109,71
28674,109305,97143,109,71
28684,109335,97194,109,71
28694,109380,97196,109,71
28704,109392,97213,109,71
28714,109449,97210,109,71
28724,109470,97217,109,71
28734,109519,97261,109,71
28744,109537,97282,109,71
28754,109540,97275,109,71
28764,109592,97274,109,71
28774,109612,97283,109,71
28784,109682,97335,109,71
28794,109687,97322,109,71
28804,109735,97339,109,71
28815,109759,97326,109,71
28824,109814,97377,109,71
28834,109841,97377,109,71
28845,109880,97371,109,71
28854,109907,97399,109,71
28864,109954,97443,109,71
28875,110009,97457,109,71
28885,110006,97452,109,71
28895,110034,97471,109,71
28905,110063,97481,109,71
28915,110002,97464,109,71
28925,109887,97376,109,71
28935,109744,97339,109,71
28945,109598,97298,109,71
28955,109403,97210,109,71
28965,109208,97126,109,71
28975,108993,97040,109,71
28985,108823,96986,109,71
28995,108675,96928,109,71
29005,108496,96860,109,71
29015,108346,96804,109,71
29025,108257,96761,109,71
29035,108127,96719,109,71
29045,108034,96667,109,71
29055,107951,96639,109,71
29066,107861,96644,109,71
29075,107776,96589,109,71
29086,107734,96550,109,71
29096,107691,96568,109,71
29106,107637,96527,109,71
29116,107586,96498,109,71
29126,107588,96505,109,71
29136,107563,96505,109,71
29146,107562,96514,109,71
29156,107558,96510,109,71
29166,107627,96540,109,71
29176,107657,96541,109,71
29186,107681,96538,109,71
29196,107744,96559,109,71
29206,107775,96591,109,71
29216,107777,96597,109,71
29226,107796,96581,109,71
29236,107852,96583,109,71
29246,107845,96600,109,71
29257,107803,96595,109,71
29266,107784,96570,109,71
29277,107765,96567,109,71
29287,107736,96535,109,71
29296,107692,96514,109,71
29307,107642,96466,109,71
29317,107569,96432,109,71
29327,107505,96436,109,71
29337,107458,96414,109,71
29347,107407,96371,109,71
29357,107348,96344,109,71
29367,107312,96344,109,71
29377,107247,96308,109,71
29387,107208,96295,109,71
29397,107166,96279,109,71
29407,107118,96270,109,71
29417,107060,96253,109,71
29427,106983,96214,109,71
29437,106917,96190,109,71
29447,106820,96156,109,71
29458,106751,96118,109,71
29467,106672,96114,109,71
29477,106579,96073,109,71
29488,106467,96043,109,71
29498,106411,96029,109,71
29508,106319,95979,109,71
29518,106265,95962,109,71
29528,106181,95943,109,71
29538,106154,95938,109,71
29548,106116,95908,109,71
29558,106083,95895,109,71
29568,106080,95907,109,71
29578,106074,95899,109,71
29588,106064,95896,109,71
29598,106086,95915,109,71
29608,106140,95923,109,71
29618,106253,95970,109,71
29628,106364,95991,109,71
29638,106512,96040,109,71
29648,106685,96126,109,71
29658,106903,96205,109,71
29669,107038,96246,109,71
29678,107237,96327,109,71
29688,107393,96383,109,71
