time_ms,ir_raw,red_raw,systolic_label,diastolic_label
49967,93853,89963,116,71
49977,93865,89962,116,71
49987,93884,89966,116,71
49998,93886,89982,116,71
50007,93898,89991,116,71
50017,93915,90017,116,71
50027,93954,90025,116,71
50038,93955,90015,116,71
50048,93955,90013,116,71
50058,93924,89992,116,71
50067,93879,89975,116,71
50078,93828,89960,116,71
50088,93737,89935,116,71
50098,93640,89882,116,71
50108,93549,89832,116,71
50118,93440,89809,116,71
50128,93341,89760,116,71
50138,93265,89735,116,71
50148,93193,89706,116,71
50158,93125,89676,116,71
50168,93084,89656,116,71
50178,93037,89659,116,71
50188,93041,89633,116,71
50198,93022,89647,116,71
50208,93025,89654,116,71
50219,93003,89643,116,71
50228,93019,89647,116,71
50238,92996,89644,116,71
50248,93013,89659,116,71
50259,93018,89658,116,71
50269,93032,89678,116,71
50279,93038,89668,116,71
50288,93063,89680,116,71
50299,93071,89701,116,71
50309,93078,89705,116,71
50319,93097,89679,116,71
50329,93115,89723,116,71
50339,93128,89720,116,71
50349,93129,89726,116,71
50359,93159,89746,116,71
50369,93135,89723,116,71
50379,93154,89753,116,71
50389,93150,89729,116,71
50399,93121,89746,116,71
50409,93116,89732,116,71
50419,93116,89745,116,71
50429,93095,89734,116,71
50439,93106,89743,116,71
50450,93116,89747,116,71
50459,93106,89754,116,71
50469,93110,89742,116,71
50479,93126,89761,116,71
50490,93153,89775,116,71
50500,93145,89794,116,71
50509,93172,89801,116,71
50520,93157,89762,116,71
50530,93207,89818,116,71
50540,93186,89797,116,71
50550,93223,89824,116,71
50560,93224,89818,116,71
50570,93265,89848,116,71
50580,93270,89854,116,71
50590,93292,89859,116,71
50600,93319,89859,116,71
50610,93359,89879,116,71
50620,93392,89893,116,71
50630,93401,89920,116,71
50640,93442,89924,116,71
50650,93461,89934,116,71
50660,93485,89940,116,71
50671,93506,89931,116,71
50680,93511,89975,116,71
50690,93508,89968,116,71
50700,93537,89969,116,71
50711,93543,89971,116,71
50721,93563,89990,116,71
50730,93596,89993,116,71
50740,93605,90002,116,71
50751,93649,90015,116,71
50761,93668,90025,116,71
50771,93704,90052,116,71
50781,93705,90055,116,71
50791,93740,90056,116,71
50801,93761,90063,116,71
50811,93807,90085,116,71
50821,93810,90094,116,71
50831,93851,90119,116,71
50841,93837,90114,116,71
50851,93822,90106,116,71
50861,93790,90074,116,71
50871,93727,90048,116,71
50881,93656,90015,116,71
50892,93531,89961,116,71
50901,93469,89938,116,71
50911,93353,89902,116,71
50921,93283,89880,116,71
50932,93192,89835,116,71
50942,93116,89832,116,71
50951,93071,89796,116,71
50961,93058,89800,116,71
50972,93012,89772,116,71
50982,92989,89787,116,71
50992,92990,89779,116,71
51002,92976,89790,116,71
51012,92985,89794,116,71
51022,93005,89778,116,71
51032,93017,89802,116,71
51042,93007,89806,116,71
51052,93041,89831,116,71
51062,93063,89834,116,71
51072,93076,89841,116,71
51082,93096,89867,116,71
51092,93105,89885,116,71
51102,93148,89890,116,71
51112,93187,89903,116,71
51122,93204,89912,116,71
51132,93212,89938,116,71
51142,93229,89950,116,71
51153,93222,89953,116,71
51163,93241,89955,116,71
51172,93237,89938,116,71
51182,93249,89962,116,71
51193,93226,89968,116,71
51203,93252,89968,116,71
51213,93235,89972,116,71
51223,93238,89971,116,71
51233,93232,89975,116,71
51243,93209,89977,116,71
51253,93238,89959,116,71
51263,93208,89989,116,71
51273,93242,89978,116,71
51283,93249,89973,116,71
51293,93267,89992,116,71
51303,93276,90022,116,71
51313,93293,90010,116,71
51323,93299,90001,116,71
51333,93320,90017,116,71
51343,93330,90013,116,71
51353,93333,90031,116,71
51363,93364,90043,116,71
51374,93371,90058,116,71
51384,93408,90066,116,71
51393,93433,90061,116,71
51403,93470,90100,116,71
51414,93471,90089,116,71
51424,93498,90099,116,71
51434,93502,90120,116,71
51444,93537,90121,116,71
51454,93560,90118,116,71
51464,93567,90126,116,71
51474,93582,90122,116,71
51484,93588,90140,116,71
51494,93629,90167,116,71
51504,93647,90155,116,71
51514,93664,90189,116,71
51524,93663,90202,116,71
51534,93689,90198,116,71
51544,93720,90211,116,71
51554,93760,90217,116,71
51564,93773,90219,116,71
51574,93809,90240,116,71
51584,93850,90242,116,71
51595,93851,90251,116,71
51605,93890,90278,116,71
51614,93918,90263,116,71
51624,93950,90286,116,71
51635,93966,90313,116,71
51645,93977,90323,116,71
51655,93974,90301,116,71
51665,93952,90308,116,71
51675,93890,90268,116,71
51685,93807,90251,116,71
51695,93704,90195,116,71
51705,93601,90171,116,71
51715,93526,90138,116,71
51725,93422,90070,116,71
51735,93356,90053,116,71
51745,93254,90033,116,71
51755,93223,90014,116,71
51765,93191,89974,116,71
51775,93137,89977,116,71
51785,93138,89993,116,71
51795,93117,89970,116,71
51805,93139,89988,116,71
51816,93145,89990,116,71
51826,93180,90000,116,71
51835,93182,90014,116,71
51845,93219,90037,116,71
51856,93227,90027,116,71
51866,93236,90046,116,71
51876,93273,90058,116,71
51886,93310,90085,116,71
51896,93350,90097,116,71
51906,93360,90135,116,71
51916,93409,90141,116,71
51926,93427,90124,116,71
51936,93437,90155,116,71
51946,93454,90162,116,71
51956,93464,90173,116,71
51966,93465,90171,116,71
51976,93473,90189,116,71
51986,93465,90178,116,71
51996,93474,90185,116,71
52006,93499,90191,116,71
52016,93451,90189,116,71
52026,93460,90187,116,71
52037,93467,90191,116,71
52047,93486,90204,116,71
52056,93473,90204,116,71
52066,93477,90202,116,71
52077,93480,90218,116,71
52087,93504,90215,116,71
52097,93515,90209,116,71
52107,93540,90245,116,71
52117,93557,90239,116,71
52127,93560,90248,116,71
52137,93621,90259,116,71
52147,93641,90283,116,71
52157,93677,90285,116,71
52167,93693,90300,116,71
52177,93723,90332,116,71
52187,93723,90335,116,71
52197,93765,90330,116,71
52207,93789,90363,116,71
52217,93823,90364,116,71
52227,93845,90360,116,71
52237,93869,90375,116,71
52247,93882,90364,116,71
52258,93890,90399,116,71
52268,93917,90403,116,71
52277,93931,90400,116,71
52287,93956,90428,116,71
52298,93981,90429,116,71
52308,94013,90446,116,71
52318,93997,90450,116,71
52328,94049,90460,116,71
52338,94059,90481,116,71
52348,94101,90495,116,71
52358,94125,90483,116,71
52368,94128,90504,116,71
52378,94121,90464,116,71
52388,94073,90483,116,71
52398,94018,90453,116,71
52408,93932,90420,116,71
52418,93862,90381,116,71
52428,93754,90324,116,71
52438,93662,90287,116,71
52448,93557,90248,116,71
52458,93460,90207,116,71
52468,93379,90183,116,71
52478,93315,90145,116,71
52489,93237,90133,116,71
52498,93219,90133,116,71
52508,93204,90126,116,71
52518,93182,90114,116,71
52529,93223,90132,116,71
52539,93195,90125,116,71
52549,93225,90142,116,71
52559,93230,90136,116,71
52569,93268,90164,116,71
52579,93274,90143,116,71
52589,93300,90184,116,71
52599,93303,90189,116,71
52609,93351,90240,116,71
52619,93369,90220,116,71
52629,93408,90251,116,71
52639,93451,90282,116,71
52649,93472,90284,116,71
52659,93508,90291,116,71
52669,93529,90317,116,71
52679,93558,90317,116,71
52689,93564,90323,116,71
52699,93577,90342,116,71
52710,93575,90360,116,71
52719,93576,90349,116,71
52729,93574,90337,116,71
52739,93586,90353,116,71
52750,93595,90361,116,71
52760,93569,90350,116,71
52770,93622,90356,116,71
52780,93621,90368,116,71
52790,93646,90404,116,71
52800,93677,90405,116,71
52810,93679,90420,116,71
52820,93717,90437,116,71
52830,93765,90465,116,71
52840,93822,90472,116,71
52850,93863,90510,116,71
52860,93927,90541,116,71
52870,93950,90549,116,71
52880,94012,90580,116,71
52890,94034,90594,116,71
52900,94105,90607,116,71
52910,94125,90618,116,71
52920,94168,90656,116,71
52931,94174,90641,116,71
52940,94229,90676,116,71
52950,94227,90663,116,71
52960,94274,90699,116,71
52971,94278,90712,116,71
52981,94299,90697,116,71
52991,94320,90727,116,71
53000,94362,90736,116,71
53011,94400,90729,116,71
53021,94418,90764,116,71
53031,94454,90800,116,71
53041,94477,90802,116,71
53051,94511,90811,116,71
53061,94538,90815,116,71
53071,94558,90832,116,71
53081,94539,90818,116,71
53091,94518,90799,116,71
53101,94441,90795,116,71
53111,94368,90748,116,71
53121,94278,90692,116,71
53131,94157,90657,116,71
