time_ms,ir_raw,red_raw,systolic_label,diastolic_label
1056,100620,73279,161,83
1066,100653,73296,161,83
1076,100662,73294,161,83
1086,100687,73281,161,83
1096,100696,73301,161,83
1106,100730,73296,161,83
1116,100772,73329,161,83
1126,100791,73321,161,83
1136,100811,73323,161,83
1146,100819,73344,161,83
1156,100861,73341,161,83
1166,100889,73351,161,83
1176,100923,73357,161,83
1186,100935,73370,161,83
1196,100974,73392,161,83
1207,100985,73391,161,83
1216,101028,73402,161,83
1227,101035,73397,161,83
1236,101067,73420,161,83
1247,101051,73430,161,83
1257,100998,73399,161,83
1267,100912,73381,161,83
1277,100784,73338,161,83
1287,100607,73265,161,83
1297,100412,73249,161,83
1307,100261,73188,161,83
1317,100124,73153,161,83
1327,100011,73123,161,83
1337,99937,73124,161,83
1347,99846,73096,161,83
1357,99828,73057,161,83
1367,99796,73069,161,83
1377,99797,73082,161,83
1387,99813,73065,161,83
1397,99811,73085,161,83
1407,99851,73094,161,83
1417,99844,73090,161,83
1427,99902,73086,161,83
1438,99944,73107,161,83
1447,99985,73135,161,83
1458,100035,73131,161,83
1467,100075,73147,161,83
1478,100153,73161,161,83
1487,100227,73189,161,83
1498,100297,73214,161,83
1508,100381,73216,161,83
1518,100421,73236,161,83
1528,100458,73247,161,83
1538,100517,73262,161,83
1548,100532,73279,161,83
1558,100586,73283,161,83
1568,100616,73294,161,83
1578,100639,73307,161,83
1588,100660,73304,161,83
1598,100675,73317,161,83
1608,100678,73317,161,83
1618,100695,73334,161,83
1628,100693,73318,161,83
1638,100717,73309,161,83
1648,100708,73320,161,83
1658,100724,73324,161,83
1669,100750,73326,161,83
1678,100782,73325,161,83
1689,100777,73327,161,83
1698,100796,73324,161,83
1709,100826,73335,161,83
1718,100818,73360,161,83
1729,100836,73361,161,83
1739,100879,73370,161,83
1749,100902,73369,161,83
1759,100936,73375,161,83
1769,100948,73384,161,83
1779,100972,73403,161,83
1789,101000,73394,161,83
1799,101033,73412,161,83
1809,101049,73410,161,83
1819,101063,73436,161,83
1829,101092,73439,161,83
1839,101118,73450,161,83
1849,101142,73438,161,83
1859,101121,73450,161,83
1869,101061,73438,161,83
1880,100954,73403,161,83
1889,100812,73352,161,83
1900,100628,73306,161,83
1909,100440,73256,161,83
1920,100269,73189,161,83
1929,100142,73156,161,83
1940,100030,73135,161,83
1950,99947,73108,161,83
1960,99905,73112,161,83
1970,99866,73086,161,83
1980,99859,73096,161,83
1990,99830,73066,161,83
2000,99840,73055,161,83
2010,99854,73085,161,83
2020,99882,73083,161,83
2030,99888,73092,161,83
2040,99939,73117,161,83
2050,99977,73137,161,83
2060,100044,73154,161,83
