time_ms,ir_raw,red_raw,systolic_label,diastolic_label
379568,108266,98146,107,67
379578,108081,97994,107,67
379588,108025,98031,107,67
379598,107958,97958,107,67
379608,107942,97984,107,67
379618,107970,97961,107,67
379628,107979,98022,107,67
379638,108005,97995,107,67
379648,107998,98029,107,67
379658,108056,98017,107,67
379668,108077,98074,107,67
379678,108089,98050,107,67
379688,108169,98116,107,67
379698,108208,98083,107,67
379709,108298,98174,107,67
379718,108378,98154,107,67
379728,108486,98250,107,67
379739,108608,98273,107,67
379749,108677,98326,107,67
379759,108765,98358,107,67
379769,108810,98374,107,67
379779,108856,98383,107,67
379789,108875,98435,107,67
379799,108875,98387,107,67
379809,108917,98441,107,67
379819,108918,98428,107,67
379829,108939,98459,107,67
379839,108931,98423,107,67
379849,108978,98462,107,67
379859,109006,98462,107,67
379869,109026,98464,107,67
379879,109104,98523,107,67
379889,109132,98532,107,67
379899,109228,98563,107,67
379909,109255,98575,107,67
379919,109373,98641,107,67
379929,109434,98669,107,67
379939,109511,98693,107,67
379950,109567,98722,107,67
379960,109613,98733,107,67
379969,109687,98786,107,67
379980,109759,98791,107,67
379990,109796,98843,107,67
379999,109857,98849,107,67
380010,109899,98886,107,67
380020,109945,98882,107,67
380030,109998,98927,107,67
380040,110091,98949,107,67
380050,110138,98950,107,67
380060,110231,99015,107,67
380070,110258,99026,107,67
380080,110375,99085,107,67
380090,110408,99089,107,67
380100,110508,99127,107,67
380110,110575,99159,107,67
380120,110685,99201,107,67
380130,110773,99254,107,67
380140,110887,99290,107,67
380150,110983,99344,107,67
380160,111089,99378,107,67
380171,111132,99400,107,67
380180,111195,99421,107,67
380190,111195,99418,107,67
380201,111064,99393,107,67
380211,110669,99206,107,67
380221,110175,98985,107,67
380231,109500,98687,107,67
380241,109123,98542,107,67
380251,108686,98316,107,67
380261,108456,98220,107,67
380271,108247,98096,107,67
380281,108238,98115,107,67
380291,108163,98074,107,67
380301,108194,98081,107,67
380311,108210,98089,107,67
380321,108298,98128,107,67
380331,108288,98127,107,67
380341,108405,98193,107,67
380351,108392,98176,107,67
380361,108513,98236,107,67
380371,108503,98196,107,67
380382,108638,98296,107,67
380391,108703,98321,107,67
380401,108884,98398,107,67
380412,108976,98437,107,67
380421,109198,98542,107,67
380432,109260,98568,107,67
380442,109479,98669,107,67
380452,109492,98664,107,67
380462,109648,98755,107,67
380472,109661,98741,107,67
380482,109779,98812,107,67
380492,109734,98753,107,67
380502,109826,98837,107,67
380512,109772,98772,107,67
380522,109865,98853,107,67
380532,109804,98766,107,67
380542,109916,98845,107,67
380552,109926,98831,107,67
380562,110027,98897,107,67
380572,110027,98890,107,67
380582,110208,98982,107,67
380592,110215,98944,107,67
380603,110385,99053,107,67
380612,110403,99044,107,67
380622,110541,99124,107,67
380633,110544,99106,107,67
380642,110725,99199,107,67
380653,110721,99154,107,67
380663,110879,99257,107,67
380673,110889,99230,107,67
380683,111023,99312,107,67
380693,111060,99306,107,67
380703,111231,99409,107,67
380713,111218,99346,107,67
380723,111380,99452,107,67
380733,111362,99423,107,67
380743,111483,99506,107,67
380753,111473,99462,107,67
380763,111614,99539,107,67
380773,111597,99499,107,67
380783,111726,99599,107,67
380793,111701,99527,107,67
380803,111818,99633,107,67
380813,111811,99598,107,67
380823,111928,99686,107,67
380833,111857,99596,107,67
380844,112010,99704,107,67
380853,111958,99636,107,67
380863,112054,99716,107,67
380874,111989,99671,107,67
380883,112041,99712,107,67
380894,111784,99561,107,67
380904,111498,99514,107,67
380914,110821,99163,107,67
380924,110260,98968,107,67
380934,109609,98645,107,67
380944,109226,98527,107,67
380954,108901,98331,107,67
380964,108833,98352,107,67
380974,108616,98204,107,67
380984,108649,98257,107,67
380994,108600,98188,107,67
381004,108710,98274,107,67
381014,108644,98211,107,67
381024,108827,98329,107,67
381034,108804,98281,107,67
381044,108946,98381,107,67
381055,108930,98347,107,67
381064,109101,98460,107,67
381075,109134,98441,107,67
381085,109354,98583,107,67
381094,109466,98571,107,67
381105,109683,98715,107,67
381115,109765,98706,107,67
381125,109974,98845,107,67
381135,110002,98815,107,67
381145,110130,98932,107,67
381155,110167,98899,107,67
381165,110238,98987,107,67
381175,110238,98887,107,67
381185,110286,98969,107,67
381195,110263,98926,107,67
381205,110354,98993,107,67
381215,110322,98928,107,67
381225,110435,99025,107,67
381235,110477,99009,107,67
381245,110558,99081,107,67
381255,110614,99043,107,67
381265,110760,99173,107,67
381275,110835,99142,107,67
381285,110927,99235,107,67
381295,111007,99197,107,67
381306,111146,99334,107,67
381315,111225,99269,107,67
381326,111277,99386,107,67
381335,111334,99334,107,67
381346,111441,99448,107,67
381356,111485,99416,107,67
381366,111545,99467,107,67
381376,111587,99433,107,67
381386,111667,99525,107,67
381396,111708,99497,107,67
381406,111742,99563,107,67
381416,111810,99531,107,67
381426,111894,99621,107,67
381436,111915,99574,107,67
381446,111959,99622,107,67
381456,112023,99653,107,67
381466,112054,99680,107,67
381476,112088,99655,107,67
381486,112121,99705,107,67
381496,112169,99697,107,67
381506,112196,99715,107,67
381516,112187,99694,107,67
381527,112225,99752,107,67
381536,112260,99711,107,67
381547,112268,99769,107,67
381557,112297,99740,107,67
381567,112299,99783,107,67
381577,112298,99738,107,67
381587,112181,99714,107,67
